assembly_accession	organism_name	species_key	assembly_level	status	genome_source	assembly_status	assembly_reason	first_pass_status	locus_n_fraction	locus_longest_n_run	locus_low_complexity	warnings
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True	
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True	
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True	
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True	
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True	
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True	
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True	
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True	
GCA_000471725.1	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.04228581165599743	2015.0	True	
GCA_000751575.1	Capreolus capreolus	Capreolus capreolus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.004673750319494651	76.0	True	
GCA_000180995.3	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.28781608095500105	5706.0	True	
GCA_000765075.1	Capra aegagrus	Capra aegagrus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.031195727525911897	3372.0	True	
GCA_000765115.1	Ovis aries musimon	Ovis aries	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.06449489509395052	3855.0	True	
GCA_001039535.1	Ovis canadensis canadensis	Ovis canadensis	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.052639979385527176	5086.0	True	
GCA_001651235.1	Giraffa tippelskirchi	Giraffa tippelskirchi	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.022620553302222804	4590.0	True	
GCA_000754665.1	Bison bison bison	Bison bison	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.027378734031313034	1886.0	True	
GCA_000978405.1	Capra aegagrus	Capra aegagrus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.06153429578794218	5813.0	True	
GCA_002102435.1	Odocoileus virginianus texanus	Odocoileus virginianus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.010320633578101573	1211.0	True	
GCA_001660835.1	Okapia johnstoni	Okapia johnstoni	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.009591060226922155	935.0	True	
GCA_001704415.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_002197005.1	Cervus elaphus hippelaphus	Cervus elaphus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.3880440175753357	12425.0	True	
GCA_002201775.1	Ammotragus lervia	Ammotragus lervia	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.04015447932982859	7718.0	True	
GCA_002443075.1	Elaphurus davidianus	Elaphurus davidianus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.03142320322399578	5426.0	True	
GCA_002263795.4	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
