branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	13	0	43.083	1	0	0
1	13	Vicugna_pacos	1	20.917	1	0	0
2	13	14	0	16.5653	1	0	0
3	14	Camelus_dromedarius	1	4.3517	1	0	0
4	14	Camelus_bactrianus	1	4.3517	1	0	0
5	INTERNAL	37	0	2.15735	1	0	0
6	37	Hippopotamus_amphibius	1	61.8426	1	0	0
7	37	25	0	50.919	1	0	0
8	25	Phacochoerus_africanus	1	10.9237	1	0	0
9	25	Sus_scrofa	1	10.9237	1	0	0
0	INTERNAL	13	0	43.083	2	0	0
1	13	Vicugna_pacos	1	20.917	2	0	0
2	13	14	0	16.5653	2	0	0
3	14	Camelus_dromedarius	1	4.3517	2	0	0
4	14	Camelus_bactrianus	1	4.3517	2	0	0
5	INTERNAL	37	0	2.15735	2	0	0
6	37	Hippopotamus_amphibius	1	61.8426	2	0	0
7	37	25	0	50.919	2	0	0
8	25	Phacochoerus_africanus	1	10.9237	2	0	0
9	25	Sus_scrofa	1	10.9237	2	0	0
0	INTERNAL	13	0	43.083	3	1	0
1	13	Vicugna_pacos	1	20.917	3	0	0
2	13	14	0	16.5653	3	0	0
3	14	Camelus_dromedarius	1	4.3517	3	0	0
4	14	Camelus_bactrianus	1	4.3517	3	0	0
5	INTERNAL	37	0	2.15735	3	0	0
6	37	Hippopotamus_amphibius	1	61.8426	3	1	0
7	37	25	0	50.919	3	0	0
8	25	Phacochoerus_africanus	1	10.9237	3	0	0
9	25	Sus_scrofa	1	10.9237	3	0	0
0	INTERNAL	13	0	43.083	4	0	0
1	13	Vicugna_pacos	1	20.917	4	0	0
2	13	14	0	16.5653	4	0	0
3	14	Camelus_dromedarius	1	4.3517	4	0	0
4	14	Camelus_bactrianus	1	4.3517	4	0	0
5	INTERNAL	37	0	2.15735	4	0	0
6	37	Hippopotamus_amphibius	1	61.8426	4	1	0
7	37	25	0	50.919	4	0	0
8	25	Phacochoerus_africanus	1	10.9237	4	0	0
9	25	Sus_scrofa	1	10.9237	4	0	0
0	INTERNAL	13	0	43.083	5	0	0
