branch	parent	child	child_is_tip	branch_length	codon_sites	#MH(>=2)	#SH(=1)	SumDist(0..3)	MH_per_unit_length	MH_per_expected_nt_subs
0	INTERNAL	14	0	57.85	928	5	78	88	0.0864304	3.10454e-05
1	14	Manis_javanica	1	16.4	928	0	21	21	0	0
2	14	Manis_pentadactyla	1	16.4	928	0	25	25	0	0
3	INTERNAL	111	0	18.8884	928	5	70	80	0.264713	9.50838e-05
4	111	63	0	18.3984	928	1	42	45	0.0543524	1.95231e-05
5	63	13	0	4.6113	928	0	18	18	0	0
6	13	Suricata_suricatta	1	32.3519	928	4	63	71	0.12364	4.4411e-05
7	13	Hyaena_hyaena	1	32.3519	928	2	67	71	0.0618202	2.22055e-05
8	63	48	0	25.05	928	1	44	46	0.0399201	1.43391e-05
9	48	51	0	0.68819	928	0	8	8	0	0
10	51	33	0	0	928	0	4	4	0	0
11	33	35	0	2.28094	928	0	1	1	0	0
12	35	37	0	3.35438	928	0	4	4	0	0
13	37	Acinonyx_jubatus	1	5.58967	928	0	6	6	0	0
14	37	25	0	0.95467	928	0	1	1	0	0
15	25	Puma_concolor	1	4.635	928	0	1	1	0	0
16	25	Puma_yagouaroundi	1	4.635	928	0	4	4	0	0
17	35	36	0	2.48975	928	0	6	6	0	0
18	36	Lynx_rufus	1	6.4543	928	0	6	6	0	0
19	36	Lynx_canadensis	1	6.4543	928	0	4	4	0	0
20	33	43	0	3.87464	928	0	2	2	0	0
21	43	34	0	4.18585	928	0	4	4	0	0
22	34	Prionailurus_bengalensis	1	3.1645	928	0	6	6	0	0
23	34	Prionailurus_viverrinus	1	3.1645	928	0	2	2	0	0
24	43	Felis_catus	1	7.35035	928	0	8	8	0	0
25	51	Leopardus_geoffroyi	1	11.225	928	0	15	15	0	0
26	48	56	0	2.77974	928	0	4	4	0	0
27	56	Neofelis_nebulosa	1	9.13344	928	0	9	9	0	0
28	56	60	0	2.36644	928	0	6	6	0	0
29	60	Panthera_tigris	1	6.767	928	0	3	3	0	0
30	60	57	0	2.051	928	0	2	2	0	0
31	57	49	0	0.6517	928	0	1	1	0	0
32	49	50	0	1.1043	928	0	2	2	0	0
33	50	Panthera_leo	1	2.96	928	0	3	3	0	0
34	50	Panthera_pardus	1	2.96	928	0	7	7	0	0
35	49	Panthera_onca	1	4.0643	928	0	5	5	0	0
36	57	Panthera_uncia	1	4.716	928	0	6	6	0	0
37	111	30	0	10.2616	928	1	32	34	0.0974503	3.50037e-05
38	30	73	0	32.8559	928	1	63	65	0.030436	1.09325e-05
39	73	68	0	1.76275	928	0	2	2	0	0
40	68	Nyctereutes_procyonoides	1	10.4814	928	0	6	6	0	0
41	68	47	0	6.96472	928	0	10	10	0	0
42	47	Vulpes_vulpes	1	3.51667	928	0	7	7	0	0
43	47	Vulpes_lagopus	1	3.51667	928	0	4	4	0	0
44	73	Canis_lupus	1	12.3216	928	0	5	5	0	0
45	30	31	0	4.98	928	0	29	29	0	0
46	31	32	0	0	928	0	15	15	0	0
47	32	94	0	25.0802	928	1	57	59	0.0398721	1.43219e-05
48	94	79	0	4.20482	928	0	9	9	0	0
49	79	84	0	1.37401	928	0	10	10	0	0
50	84	72	0	0	928	0	10	10	0	0
51	72	Lutra_lutra	1	9.46099	928	0	15	15	0	0
52	72	Enhydra_lutris	1	9.46099	928	1	19	21	0.105697	3.79659e-05
53	84	Lontra_canadensis	1	9.46099	928	0	16	16	0	0
54	79	80	0	4.035	928	0	18	18	0	0
55	80	82	0	2.83	928	0	2	2	0	0
56	82	83	0	2.87	928	0	8	8	0	0
57	83	87	0	0.54768	928	0	0	0	0	0
58	87	Mustela_putorius	1	0.55232	928	0	8	8	0	0
59	87	Mustela_lutreola	1	0.55232	928	0	7	7	0	0
60	83	Mustela_nigripes	1	1.1	928	0	7	7	0	0
61	82	Mustela_erminea	1	3.97	928	0	12	12	0	0
62	80	Neogale_vison	1	6.8	928	0	13	13	0	0
63	94	Meles_meles	1	15.0398	928	0	32	32	0	0
64	32	46	0	16.3101	928	0	33	33	0	0
65	46	98	0	5.4856	928	0	13	13	0	0
66	98	Odobenus_rosmarus	1	18.3243	928	0	13	13	0	0
67	98	78	0	9.44205	928	0	9	9	0	0
68	78	Callorhinus_ursinus	1	8.8823	928	0	9	9	0	0
69	78	92	0	4.6323	928	0	7	7	0	0
70	92	Eumetopias_jubatus	1	4.25	928	0	3	3	0	0
71	92	Zalophus_californianus	1	4.25	928	0	2	2	0	0
72	46	66	0	8.56995	928	0	16	16	0	0
73	66	97	0	10.0343	928	0	3	3	0	0
74	97	Halichoerus_grypus	1	5.20572	928	0	2	2	0	0
75	97	Phoca_vitulina	1	5.20572	928	0	7	7	0	0
76	66	67	0	4.34	928	0	11	11	0	0
77	67	71	0	0.9	928	0	1	1	0	0
78	71	Leptonychotes_weddellii	1	10	928	0	9	9	0	0
79	71	77	0	7.7	928	0	8	8	0	0
80	77	Mirounga_leonina	1	2.3	928	0	1	1	0	0
81	77	Mirounga_angustirostris	1	2.3	928	0	2	2	0	0
82	67	Neomonachus_schauinslandi	1	10.9	928	0	7	7	0	0
83	31	103	0	20.8637	928	0	48	48	0	0
84	103	Ailuropoda_melanoleuca	1	19.2563	928	0	16	16	0	0
85	103	104	0	14.3768	928	0	21	21	0	0
86	104	Ursus_americanus	1	4.8794	928	0	7	7	0	0
87	104	106	0	4.0594	928	0	1	1	0	0
88	106	Ursus_arctos	1	0.82	928	0	3	3	0	0
89	106	Ursus_maritimus	1	0.82	928	0	1	1	0	0
