branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	14	0	57.85	1	0	0
1	14	Manis_javanica	1	16.4	1	0	0
2	14	Manis_pentadactyla	1	16.4	1	0	0
3	INTERNAL	111	0	18.8884	1	0	0
4	111	63	0	18.3984	1	0	0
5	63	13	0	4.6113	1	0	0
6	13	Suricata_suricatta	1	32.3519	1	0	0
7	13	Hyaena_hyaena	1	32.3519	1	0	0
8	63	48	0	25.05	1	0	0
9	48	51	0	0.68819	1	0	0
10	51	33	0	0	1	0	0
11	33	35	0	2.28094	1	0	0
12	35	37	0	3.35438	1	0	0
13	37	Acinonyx_jubatus	1	5.58967	1	0	0
14	37	25	0	0.95467	1	0	0
15	25	Puma_concolor	1	4.635	1	0	0
16	25	Puma_yagouaroundi	1	4.635	1	0	0
17	35	36	0	2.48975	1	0	0
18	36	Lynx_rufus	1	6.4543	1	0	0
19	36	Lynx_canadensis	1	6.4543	1	0	0
20	33	43	0	3.87464	1	0	0
21	43	34	0	4.18585	1	0	0
22	34	Prionailurus_bengalensis	1	3.1645	1	0	0
23	34	Prionailurus_viverrinus	1	3.1645	1	0	0
24	43	Felis_catus	1	7.35035	1	0	0
25	51	Leopardus_geoffroyi	1	11.225	1	0	0
26	48	56	0	2.77974	1	0	0
27	56	Neofelis_nebulosa	1	9.13344	1	0	0
28	56	60	0	2.36644	1	0	0
29	60	Panthera_tigris	1	6.767	1	0	0
30	60	57	0	2.051	1	0	0
31	57	49	0	0.6517	1	0	0
32	49	50	0	1.1043	1	0	0
33	50	Panthera_leo	1	2.96	1	0	0
34	50	Panthera_pardus	1	2.96	1	0	0
35	49	Panthera_onca	1	4.0643	1	0	0
36	57	Panthera_uncia	1	4.716	1	0	0
37	111	30	0	10.2616	1	0	0
38	30	73	0	32.8559	1	0	0
39	73	68	0	1.76275	1	0	0
40	68	Nyctereutes_procyonoides	1	10.4814	1	0	0
41	68	47	0	6.96472	1	0	0
42	47	Vulpes_vulpes	1	3.51667	1	0	0
43	47	Vulpes_lagopus	1	3.51667	1	0	0
44	73	Canis_lupus	1	12.3216	1	0	0
45	30	31	0	4.98	1	0	0
46	31	32	0	0	1	0	0
47	32	94	0	25.0802	1	0	0
48	94	79	0	4.20482	1	0	0
49	79	84	0	1.37401	1	0	0
50	84	72	0	0	1	0	0
51	72	Lutra_lutra	1	9.46099	1	0	0
52	72	Enhydra_lutris	1	9.46099	1	0	0
53	84	Lontra_canadensis	1	9.46099	1	0	0
54	79	80	0	4.035	1	0	0
55	80	82	0	2.83	1	0	0
56	82	83	0	2.87	1	0	0
57	83	87	0	0.54768	1	0	0
58	87	Mustela_putorius	1	0.55232	1	0	0
59	87	Mustela_lutreola	1	0.55232	1	0	0
60	83	Mustela_nigripes	1	1.1	1	0	0
61	82	Mustela_erminea	1	3.97	1	0	0
62	80	Neogale_vison	1	6.8	1	0	0
63	94	Meles_meles	1	15.0398	1	0	0
64	32	46	0	16.3101	1	0	0
65	46	98	0	5.4856	1	0	0
66	98	Odobenus_rosmarus	1	18.3243	1	0	0
67	98	78	0	9.44205	1	0	0
68	78	Callorhinus_ursinus	1	8.8823	1	0	0
69	78	92	0	4.6323	1	0	0
70	92	Eumetopias_jubatus	1	4.25	1	0	0
71	92	Zalophus_californianus	1	4.25	1	0	0
72	46	66	0	8.56995	1	0	0
73	66	97	0	10.0343	1	0	0
74	97	Halichoerus_grypus	1	5.20572	1	0	0
75	97	Phoca_vitulina	1	5.20572	1	0	0
76	66	67	0	4.34	1	0	0
77	67	71	0	0.9	1	0	0
78	71	Leptonychotes_weddellii	1	10	1	0	0
79	71	77	0	7.7	1	0	0
80	77	Mirounga_leonina	1	2.3	1	0	0
81	77	Mirounga_angustirostris	1	2.3	1	0	0
82	67	Neomonachus_schauinslandi	1	10.9	1	0	0
83	31	103	0	20.8637	1	0	0
84	103	Ailuropoda_melanoleuca	1	19.2563	1	0	0
85	103	104	0	14.3768	1	0	0
86	104	Ursus_americanus	1	4.8794	1	0	0
87	104	106	0	4.0594	1	0	0
88	106	Ursus_arctos	1	0.82	1	0	0
89	106	Ursus_maritimus	1	0.82	1	0	0
0	INTERNAL	14	0	57.85	2	0	0
1	14	Manis_javanica	1	16.4	2	0	0
