accession	organism_name	species	assembly_level	assembly_status	species_status	source	callable_fraction	reconstructed_fraction	n_fraction	explicit_deleted_nt	insertion_nt	sensitive_rescued_nt	internal_stop_count_naive	frame_remainder	supported_events	rescued_events	quality_score	warnings	selected_representative
GCA_059336145.1	Bos taurus	Bos taurus	Complete Genome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9598134194474345	0.9598134194474345	0.01796846351301797	63	3	0	25	0	16	0	177.72997272179964	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_057332215.1	Ovis aries	Ovis aries	Complete Genome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.010968921389396709	60	8	26	28	2	15	0	178.53503295524587	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_003121395.1	Bubalus bubalis	Bubalus bubalis	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.8058844635809114	0.8058844635809114	0.17304860088365243	71	0	57	25	1	11	0	151.62792797985463	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_023699985.4	Odocoileus virginianus	Odocoileus virginianus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9684248295658414	0.9684248295658414	0.001838235294117647	83	16	26	41	2	11	0	175.82410060364296	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_026262515.1	Bos indicus	Bos indicus	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.961248654467169	0.961248654467169	0.017955294979846097	59	1	0	33	2	13	0	174.8736279091048	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_027580195.2	Bos mutus	Bos mutus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.961248654467169	0.961248654467169	0.017889740781307048	59	11	26	31	0	12	0	174.7443321598486	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_040806595.1	Capra hircus	Capra hircus	Complete Genome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	38	2	12	0	178.3553874142454	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_040182635.1	Pantholops hodgsonii	Pantholops hodgsonii	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9687836383207751	0.9687836383207751	0.010972933430870519	57	4	28	40	1	10	0	175.64263546131122	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_951849835.1	Capreolus capreolus	Capreolus capreolus	Contig	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9684248295658414	0.9684248295658414	0.002571638501102131	81	16	24	38	1	8	0	169.81676657157314	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_000754665.1	Bison bison bison	Bison bison	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9598134194474345	0.9598134194474345	0.01942103334554782	59	1	0	33	2	13	0	131.5616008696282	"[""refiner_sensitive_exon_blast_incorporated""]"	True
