codon_index	Iss_contrib
1	0.0
2	0.0
3	0.0
4	0.7648889870348371
5	0.20684590094035618
6	0.6374074891956975
7	0.41369180188071236
8	0.20684590094035618
9	0.46826291353883287
10	0.20684590094035618
11	0.38244449351741855
12	0.4618088966186352
13	0.6205377028210686
14	0.20684590094035618
15	0.41369180188071236
16	0.20684590094035618
17	0.5892903944577748
18	0.20684590094035618
19	0.0
20	0.0
21	0.0
22	0.0
23	0.4618088966186352
24	0.20684590094035618
25	0.20684590094035618
26	0.20684590094035618
27	0.20684590094035618
28	0.0
29	0.0
30	0.20684590094035618
31	0.41369180188071236
32	0.0
33	0.0
34	0.20684590094035618
35	0.254962995678279
36	0.0
37	0.0
38	0.0
39	0.0
40	0.20684590094035618
41	0.0
42	0.0
43	0.41369180188071236
44	0.0
45	0.0
46	0.254962995678279
47	0.0
48	0.0
49	0.20684590094035618
50	0.4618088966186352
51	0.38244449351741855
52	0.8442533901360536
53	0.5892903944577748
54	0.41369180188071236
55	0.20684590094035618
56	0.0
57	0.20684590094035618
58	0.20684590094035618
59	0.0
60	0.20684590094035618
61	0.0
62	0.20684590094035618
63	0.0
64	0.0
65	0.0
66	0.20684590094035618
67	0.0
68	0.0
69	0.20684590094035618
70	0.41369180188071236
71	0.0
72	0.0
73	0.20684590094035618
74	0.20684590094035618
75	0.0
76	0.20684590094035618
77	0.0
78	0.0
79	0.254962995678279
80	0.0
81	0.20684590094035618
82	0.20684590094035618
83	0.20684590094035618
84	0.4618088966186352
85	0.0
86	0.0
87	0.20684590094035618
88	0.0
89	0.41369180188071236
90	0.254962995678279
91	0.20684590094035618
92	0.0
93	0.0
94	0.0
95	0.4618088966186352
96	0.20684590094035618
97	0.20684590094035618
98	0.0
99	0.20684590094035618
100	0.0
101	0.0
102	0.0
103	0.254962995678279
104	0.38244449351741855
105	0.0
106	0.0
107	0.38244449351741855
108	0.20684590094035618
109	0.0
110	0.20684590094035618
111	0.0
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.20684590094035618
118	0.0
119	0.0
120	0.0
121	0.20684590094035618
122	0.0
123	0.20684590094035618
124	0.0
125	0.0
126	0.41369180188071236
127	0.20684590094035618
128	0.254962995678279
129	0.254962995678279
130	0.0
131	0.20684590094035618
132	0.20684590094035618
133	0.4618088966186352
134	0.0
135	0.41369180188071236
136	0.20684590094035618
137	0.5892903944577748
138	0.0
139	0.20684590094035618
140	0.20684590094035618
141	0.0
142	0.0
143	0.20684590094035618
144	0.0
145	0.0
146	0.41369180188071236
147	0.0
148	0.0
149	0.20684590094035618
150	0.0
151	0.0
152	0.20684590094035618
153	0.4618088966186352
154	0.0
155	0.0
156	0.0
157	0.254962995678279
158	0.254962995678279
159	0.254962995678279
160	0.254962995678279
161	0.0
162	0.0
163	0.20684590094035618
164	0.254962995678279
165	0.254962995678279
166	0.0
167	0.0
168	0.0
169	0.20684590094035618
170	0.0
171	0.0
172	0.0
173	0.0
