Node_ID,Branch_Length,Taxa_Count,Taxa,Clade_Summary,Verdict,Supporting_References
0,,24,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Gallus_gallus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Ornithorhynchus_anatinus, Oryctolagus_cuniculus, Rana_temporaria, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tachyglossus_aculeatus, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
1,351.68654,1,Rana_temporaria,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
2,32.73654,23,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Gallus_gallus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Ornithorhynchus_anatinus, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tachyglossus_aculeatus, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
3,138.8839,22,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Ornithorhynchus_anatinus, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tachyglossus_aculeatus, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
4,20.0661,20,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
5,160.0,1,Vombatus_ursinus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
6,60.8113,19,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Trichechus_manatus, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
7,5.1887,17,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Manis_javanica, Myotis_myotis, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
8,7.70392,12,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Manis_javanica, Myotis_myotis, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
9,20.09608,2,"Erinaceus_europaeus, Suncus_etruscus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
10,66.2,1,Suncus_etruscus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
