branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	13	0	6.8	1	0	0
1	13	14	0	54.4945	1	0	0
2	14	Sorex_fumeus	1	11.7055	1	0	0
3	14	Sorex_araneus	1	11.7055	1	0	0
4	13	Erinaceus_europaeus	1	66.2	1	0	0
5	INTERNAL	Condylura_cristata	1	73	1	0	0
0	INTERNAL	13	0	6.8	2	0	0
1	13	14	0	54.4945	2	0	0
2	14	Sorex_fumeus	1	11.7055	2	0	0
3	14	Sorex_araneus	1	11.7055	2	0	0
4	13	Erinaceus_europaeus	1	66.2	2	0	0
5	INTERNAL	Condylura_cristata	1	73	2	0	0
0	INTERNAL	13	0	6.8	3	0	0
1	13	14	0	54.4945	3	0	0
2	14	Sorex_fumeus	1	11.7055	3	0	0
3	14	Sorex_araneus	1	11.7055	3	0	0
4	13	Erinaceus_europaeus	1	66.2	3	0	0
5	INTERNAL	Condylura_cristata	1	73	3	0	0
0	INTERNAL	13	0	6.8	4	0	0
1	13	14	0	54.4945	4	3	1
2	14	Sorex_fumeus	1	11.7055	4	0	0
3	14	Sorex_araneus	1	11.7055	4	0	0
4	13	Erinaceus_europaeus	1	66.2	4	0	0
5	INTERNAL	Condylura_cristata	1	73	4	0	0
0	INTERNAL	13	0	6.8	5	0	0
1	13	14	0	54.4945	5	0	0
2	14	Sorex_fumeus	1	11.7055	5	0	0
3	14	Sorex_araneus	1	11.7055	5	0	0
4	13	Erinaceus_europaeus	1	66.2	5	1	0
5	INTERNAL	Condylura_cristata	1	73	5	0	0
0	INTERNAL	13	0	6.8	6	0	0
1	13	14	0	54.4945	6	1	0
2	14	Sorex_fumeus	1	11.7055	6	1	0
3	14	Sorex_araneus	1	11.7055	6	0	0
4	13	Erinaceus_europaeus	1	66.2	6	0	0
5	INTERNAL	Condylura_cristata	1	73	6	1	0
0	INTERNAL	13	0	6.8	7	0	0
1	13	14	0	54.4945	7	0	0
2	14	Sorex_fumeus	1	11.7055	7	0	0
3	14	Sorex_araneus	1	11.7055	7	0	0
4	13	Erinaceus_europaeus	1	66.2	7	0	0
5	INTERNAL	Condylura_cristata	1	73	7	2	1
0	INTERNAL	13	0	6.8	8	0	0
1	13	14	0	54.4945	8	0	0
2	14	Sorex_fumeus	1	11.7055	8	0	0
3	14	Sorex_araneus	1	11.7055	8	0	0
4	13	Erinaceus_europaeus	1	66.2	8	1	0
5	INTERNAL	Condylura_cristata	1	73	8	0	0
0	INTERNAL	13	0	6.8	9	0	0
1	13	14	0	54.4945	9	2	1
2	14	Sorex_fumeus	1	11.7055	9	0	0
3	14	Sorex_araneus	1	11.7055	9	0	0
4	13	Erinaceus_europaeus	1	66.2	9	0	0
5	INTERNAL	Condylura_cristata	1	73	9	0	0
0	INTERNAL	13	0	6.8	10	0	0
1	13	14	0	54.4945	10	0	0
2	14	Sorex_fumeus	1	11.7055	10	0	0
3	14	Sorex_araneus	1	11.7055	10	0	0
4	13	Erinaceus_europaeus	1	66.2	10	1	0
5	INTERNAL	Condylura_cristata	1	73	10	0	0
0	INTERNAL	13	0	6.8	11	0	0
1	13	14	0	54.4945	11	1	0
2	14	Sorex_fumeus	1	11.7055	11	0	0
3	14	Sorex_araneus	1	11.7055	11	0	0
4	13	Erinaceus_europaeus	1	66.2	11	0	0
5	INTERNAL	Condylura_cristata	1	73	11	1	0
0	INTERNAL	13	0	6.8	12	0	0
1	13	14	0	54.4945	12	1	0
2	14	Sorex_fumeus	1	11.7055	12	0	0
3	14	Sorex_araneus	1	11.7055	12	0	0
4	13	Erinaceus_europaeus	1	66.2	12	1	0
5	INTERNAL	Condylura_cristata	1	73	12	0	0
0	INTERNAL	13	0	6.8	13	0	0
1	13	14	0	54.4945	13	0	0
2	14	Sorex_fumeus	1	11.7055	13	0	0
3	14	Sorex_araneus	1	11.7055	13	0	0
4	13	Erinaceus_europaeus	1	66.2	13	3	1
5	INTERNAL	Condylura_cristata	1	73	13	0	0
0	INTERNAL	13	0	6.8	14	0	0
1	13	14	0	54.4945	14	0	0
2	14	Sorex_fumeus	1	11.7055	14	1	0
3	14	Sorex_araneus	1	11.7055	14	0	0
4	13	Erinaceus_europaeus	1	66.2	14	0	0
5	INTERNAL	Condylura_cristata	1	73	14	0	0
0	INTERNAL	13	0	6.8	15	0	0
1	13	14	0	54.4945	15	0	0
2	14	Sorex_fumeus	1	11.7055	15	0	0
3	14	Sorex_araneus	1	11.7055	15	1	0
4	13	Erinaceus_europaeus	1	66.2	15	1	0
5	INTERNAL	Condylura_cristata	1	73	15	0	0
0	INTERNAL	13	0	6.8	16	0	0
1	13	14	0	54.4945	16	0	0
2	14	Sorex_fumeus	1	11.7055	16	0	0
3	14	Sorex_araneus	1	11.7055	16	0	0
4	13	Erinaceus_europaeus	1	66.2	16	0	0
5	INTERNAL	Condylura_cristata	1	73	16	1	0
0	INTERNAL	13	0	6.8	17	0	0
1	13	14	0	54.4945	17	1	0
2	14	Sorex_fumeus	1	11.7055	17	0	0
3	14	Sorex_araneus	1	11.7055	17	0	0
4	13	Erinaceus_europaeus	1	66.2	17	2	1
5	INTERNAL	Condylura_cristata	1	73	17	0	0
0	INTERNAL	13	0	6.8	18	0	0
1	13	14	0	54.4945	18	0	0
2	14	Sorex_fumeus	1	11.7055	18	0	0
3	14	Sorex_araneus	1	11.7055	18	0	0
4	13	Erinaceus_europaeus	1	66.2	18	1	0
5	INTERNAL	Condylura_cristata	1	73	18	0	0
0	INTERNAL	13	0	6.8	19	0	0
1	13	14	0	54.4945	19	0	0
2	14	Sorex_fumeus	1	11.7055	19	0	0
3	14	Sorex_araneus	1	11.7055	19	0	0
4	13	Erinaceus_europaeus	1	66.2	19	0	0
5	INTERNAL	Condylura_cristata	1	73	19	0	0
0	INTERNAL	13	0	6.8	20	0	0
1	13	14	0	54.4945	20	0	0
2	14	Sorex_fumeus	1	11.7055	20	0	0
3	14	Sorex_araneus	1	11.7055	20	0	0
4	13	Erinaceus_europaeus	1	66.2	20	0	0
5	INTERNAL	Condylura_cristata	1	73	20	0	0
0	INTERNAL	13	0	6.8	21	0	0
1	13	14	0	54.4945	21	0	0
2	14	Sorex_fumeus	1	11.7055	21	0	0
3	14	Sorex_araneus	1	11.7055	21	0	0
4	13	Erinaceus_europaeus	1	66.2	21	0	0
5	INTERNAL	Condylura_cristata	1	73	21	0	0
0	INTERNAL	13	0	6.8	22	0	0
1	13	14	0	54.4945	22	0	0
2	14	Sorex_fumeus	1	11.7055	22	0	0
3	14	Sorex_araneus	1	11.7055	22	0	0
4	13	Erinaceus_europaeus	1	66.2	22	0	0
5	INTERNAL	Condylura_cristata	1	73	22	0	0
0	INTERNAL	13	0	6.8	23	0	0
1	13	14	0	54.4945	23	1	0
2	14	Sorex_fumeus	1	11.7055	23	0	0
3	14	Sorex_araneus	1	11.7055	23	0	0
4	13	Erinaceus_europaeus	1	66.2	23	1	0
5	INTERNAL	Condylura_cristata	1	73	23	0	0
