branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	36	0	16.9992	1	0	0
1	36	14	0	71.3803	1	0	0
2	14	Loxodonta_africana	1	8.4397	1	0	0
3	14	Elephas_maximus	1	8.4397	1	0	0
4	36	37	0	4.72	1	0	0
5	37	25	0	7.205	1	0	0
6	25	13	0	3.895	1	0	0
7	13	Chrysochloris_asiatica	1	64	1	0	0
8	13	Echinops_telfairi	1	64	1	0	0
9	25	Elephantulus_edwardii	1	67.895	1	0	0
10	37	Orycteropus_afer	1	75.1	1	0	0
11	INTERNAL	35	0	29.0906	1	0	0
12	35	Dasypus_novemcinctus	1	67.7286	1	0	0
13	35	Choloepus_didactylus	1	67.7286	1	0	0
0	INTERNAL	36	0	16.9992	2	0	0
1	36	14	0	71.3803	2	0	0
2	14	Loxodonta_africana	1	8.4397	2	0	0
3	14	Elephas_maximus	1	8.4397	2	0	0
4	36	37	0	4.72	2	0	0
5	37	25	0	7.205	2	0	0
6	25	13	0	3.895	2	0	0
7	13	Chrysochloris_asiatica	1	64	2	0	0
8	13	Echinops_telfairi	1	64	2	0	0
9	25	Elephantulus_edwardii	1	67.895	2	0	0
10	37	Orycteropus_afer	1	75.1	2	1	0
11	INTERNAL	35	0	29.0906	2	0	0
12	35	Dasypus_novemcinctus	1	67.7286	2	0	0
13	35	Choloepus_didactylus	1	67.7286	2	0	0
0	INTERNAL	36	0	16.9992	3	0	0
1	36	14	0	71.3803	3	1	0
2	14	Loxodonta_africana	1	8.4397	3	0	0
3	14	Elephas_maximus	1	8.4397	3	0	0
4	36	37	0	4.72	3	0	0
5	37	25	0	7.205	3	0	0
6	25	13	0	3.895	3	0	0
7	13	Chrysochloris_asiatica	1	64	3	0	0
8	13	Echinops_telfairi	1	64	3	0	0
9	25	Elephantulus_edwardii	1	67.895	3	0	0
10	37	Orycteropus_afer	1	75.1	3	0	0
11	INTERNAL	35	0	29.0906	3	0	0
12	35	Dasypus_novemcinctus	1	67.7286	3	0	0
13	35	Choloepus_didactylus	1	67.7286	3	1	0
0	INTERNAL	36	0	16.9992	4	0	0
1	36	14	0	71.3803	4	0	0
2	14	Loxodonta_africana	1	8.4397	4	0	0
3	14	Elephas_maximus	1	8.4397	4	0	0
4	36	37	0	4.72	4	0	0
5	37	25	0	7.205	4	0	0
6	25	13	0	3.895	4	0	0
7	13	Chrysochloris_asiatica	1	64	4	0	0
8	13	Echinops_telfairi	1	64	4	0	0
9	25	Elephantulus_edwardii	1	67.895	4	0	0
10	37	Orycteropus_afer	1	75.1	4	0	0
11	INTERNAL	35	0	29.0906	4	0	0
12	35	Dasypus_novemcinctus	1	67.7286	4	0	0
13	35	Choloepus_didactylus	1	67.7286	4	1	0
0	INTERNAL	36	0	16.9992	5	0	0
1	36	14	0	71.3803	5	0	0
2	14	Loxodonta_africana	1	8.4397	5	0	0
3	14	Elephas_maximus	1	8.4397	5	0	0
4	36	37	0	4.72	5	0	0
5	37	25	0	7.205	5	0	0
6	25	13	0	3.895	5	0	0
7	13	Chrysochloris_asiatica	1	64	5	2	1
8	13	Echinops_telfairi	1	64	5	0	0
9	25	Elephantulus_edwardii	1	67.895	5	0	0
10	37	Orycteropus_afer	1	75.1	5	0	0
11	INTERNAL	35	0	29.0906	5	0	0
12	35	Dasypus_novemcinctus	1	67.7286	5	0	0
13	35	Choloepus_didactylus	1	67.7286	5	0	0
0	INTERNAL	36	0	16.9992	6	0	0
1	36	14	0	71.3803	6	0	0
2	14	Loxodonta_africana	1	8.4397	6	0	0
3	14	Elephas_maximus	1	8.4397	6	0	0
4	36	37	0	4.72	6	0	0
5	37	25	0	7.205	6	0	0
6	25	13	0	3.895	6	0	0
7	13	Chrysochloris_asiatica	1	64	6	0	0
8	13	Echinops_telfairi	1	64	6	0	0
9	25	Elephantulus_edwardii	1	67.895	6	0	0
10	37	Orycteropus_afer	1	75.1	6	0	0
11	INTERNAL	35	0	29.0906	6	0	0
12	35	Dasypus_novemcinctus	1	67.7286	6	0	0
13	35	Choloepus_didactylus	1	67.7286	6	0	0
0	INTERNAL	36	0	16.9992	7	0	0
1	36	14	0	71.3803	7	0	0
2	14	Loxodonta_africana	1	8.4397	7	0	0
3	14	Elephas_maximus	1	8.4397	7	0	0
4	36	37	0	4.72	7	0	0
5	37	25	0	7.205	7	0	0
6	25	13	0	3.895	7	1	0
7	13	Chrysochloris_asiatica	1	64	7	1	0
8	13	Echinops_telfairi	1	64	7	0	0
9	25	Elephantulus_edwardii	1	67.895	7	0	0
10	37	Orycteropus_afer	1	75.1	7	0	0
11	INTERNAL	35	0	29.0906	7	0	0
12	35	Dasypus_novemcinctus	1	67.7286	7	1	0
