
Analysis Description
--------------------
aBSREL (Adaptive branch-site random effects likelihood) uses an adaptive
random effects branch-site model framework to test whether each branch
has evolved under positive selection, using a procedure which infers an
optimal number of rate categories per branch. v2.2 adds support for
multiple-hit models. v2.3 adds support for SRV. v2.5 adds support for
ancestral state reconstruction, identification of sites contributing to
selection signal, and some diagnostics.

- __Requirements__: in-frame codon alignment and a phylogenetic tree

- __Citation__:  Less Is More: An Adaptive Branch-Site Random Effects Model for
Efficient Detection of Episodic Diversifying Selection (2015). Mol Biol
Evol 32 (5): 1342-1353.

- __Written by__: Sergei L Kosakovsky Pond, Ben Murrell, Steven Weaver and Temple iGEM /
UCSD viral evolution group

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 2.5

[Advanced option] Bag of little bootstrap alignment resampling rate (permissible range = [0.01,1], default value = 1): blb: 1

>code => Universal
/home/morpheus/GPRC6A_hyphy/ABSREL/Carnivora_Pholidota/Carnivora_Pholidota.nwk
Carnivora_Pholidota.nwk

>Loaded a multiple sequence alignment with **46** sequences, **928** codons, and **1** partitions from `/home/morpheus/GPRC6A_hyphy/ABSREL/Carnivora_Pholidota/codon_alignment.phy`

>branches => All

>multiple-hits => None

>srv => No


### * Selected 89 branches for testing: `Manis_javanica, Manis_pentadactyla, Suricata_suricatta, Hyaena_hyaena, Node6, Acinonyx_jubatus, Puma_concolor, Puma_yagouaroundi, Node15, Node13, Lynx_rufus, Lynx_canadensis, Node18, Node12, Prionailurus_bengalensis, Prionailurus_viverrinus, Node22, Felis_catus, Node21, Node11, Leopardus_geoffroyi, Node10, Neofelis_nebulosa, Panthera_tigris, Panthera_leo, Panthera_pardus, Node33, Panthera_onca, Node32, Panthera_uncia, Node31, Node29, Node27, Node9, Node5, Nyctereutes_procyonoides, Vulpes_vulpes, Vulpes_lagopus, Node42, Node40, Canis_lupus, Node39, Lutra_lutra, Enhydra_lutris, Node51, Lontra_canadensis, Node50, Mustela_putorius, Mustela_lutreola, Node58, Mustela_nigripes, Node57, Mustela_erminea, Node56, Neogale_vison, Node55, Node49, Meles_meles, Node48, Odobenus_rosmarus, Callorhinus_ursinus, Eumetopias_jubatus, Zalophus_californianus, Node70, Node68, Node66, Halichoerus_grypus, Phoca_vitulina, Node74, Leptonychotes_weddellii, Mirounga_leonina, Mirounga_angustirostris, Node80, Node78, Neomonachus_schauinslandi, Node77, Node73, Node65, Node47, Ailuropoda_melanoleuca, Ursus_americanus, Ursus_arctos, Ursus_maritimus, Node88, Node86, Node84, Node46, Node38, Node4`


### Obtaining branch lengths and nucleotide substitution biases under the nucleotide GTR model

>kill-zero-lengths => Yes

### Deleted 3 zero-length internal branches: `Node32, Node58, Node88`
* Log(L) = -11720.62, AIC-c = 23635.39 (97 estimated parameters)
* 1 partition. Total tree length by partition (subs/site)  0.470

### Fitting the baseline model with a single dN/dS class per branch, and no site-to-site variation.
* Log(L) = -11275.60, AIC-c = 22924.84 (186 estimated parameters)
* Branch-level non-synonymous/synonymous rate ratio distribution has median  0.31, and 95% of the weight in  0.04 - 10000000000.00

### Determining the optimal number of rate classes per branch using a step up procedure

|              Branch               |  Length  |  Rates   |     Max. dN/dS     |    Log(L)     |     AIC-c     |Best AIC-c so far|
|-----------------------------------|----------|----------|--------------------|---------------|---------------|-----------------|
|               Node4               |   0.07   |    2     |    1.14 (23.54%)   |   -11271.59   |   22920.85    |    22920.85     |
|               Node4               |   0.07   |    3     |    1.43 ( 5.45%)   |   -11271.60   |   22924.90    |    22920.85     |
|        Suricata_suricatta         |   0.03   |    2     |    0.35 (34.60%)   |   -11271.59   |   22924.88    |    22920.85     |
|              Node39               |   0.03   |    2     |    0.26 (18.53%)   |   -11271.59   |   22924.89    |    22920.85     |
|           Hyaena_hyaena           |   0.03   |    2     |    0.33 (63.41%)   |   -11271.59   |   22924.89    |    22920.85     |
|              Node48               |   0.02   |    2     |    0.22 (47.02%)   |   -11271.59   |   22924.89    |    22920.85     |
|              Node84               |   0.02   |    2     |   0.14 (100.00%)   |   -11271.59   |   22924.89    |    22920.85     |
|               Node9               |   0.02   |    2     |    0.32 (53.62%)   |   -11271.59   |   22924.89    |    22920.85     |
|               Node5               |   0.02   |    2     |  207.44 ( 0.17%)   |   -11269.64   |   22920.98    |    22920.85     |
|              Node65               |   0.01   |    2     |   0.12 (100.00%)   |   -11271.59   |   22924.89    |    22920.85     |
|            Meles_meles            |   0.01   |    2     |    0.31 ( 1.12%)   |   -11271.59   |   22924.89    |    22920.85     |
|              Node38               |   0.01   |    2     |   25.65 ( 2.14%)   |   -11270.40   |   22922.51    |    22920.85     |
|        Manis_pentadactyla         |   0.01   |    2     |    0.27 (37.43%)   |   -11271.59   |   22924.88    |    22920.85     |
|              Node46               |   0.01   |    2     |    0.38 (20.80%)   |   -11271.59   |   22924.88    |    22920.85     |
|              Node86               |   0.01   |    2     |    0.20 (50.58%)   |   -11271.59   |   22924.89    |    22920.85     |
|          Enhydra_lutris           |   0.01   |    2     |    0.73 (22.53%)   |   -11271.59   |   22924.89    |    22920.85     |
|               Node6               |   0.01   |    2     |    0.19 (75.99%)   |   -11271.59   |   22924.89    |    22920.85     |
|          Manis_javanica           |   0.01   |    2     |    0.48 (49.15%)   |   -11271.59   |   22924.89    |    22920.85     |
|              Node55               |   0.01   |    2     |    0.34 (54.58%)   |   -11271.59   |   22924.89    |    22920.85     |
|      Ailuropoda_melanoleuca       |   0.01   |    2     |    0.25 (50.00%)   |   -11271.59   |   22924.89    |    22920.85     |
|            Lutra_lutra            |   0.01   |    2     |    0.49 (48.79%)   |   -11271.59   |   22924.89    |    22920.85     |
|         Lontra_canadensis         |   0.01   |    2     |    0.49 (49.52%)   |   -11271.59   |   22924.89    |    22920.85     |
|              Node66               |   0.01   |    2     |    0.20 (75.85%)   |   -11271.59   |   22924.89    |    22920.85     |
|        Leopardus_geoffroyi        |   0.01   |    2     |    0.40 (98.00%)   |   -11271.59   |   22924.89    |    22920.85     |
|              Node73               |   0.01   |    2     |    0.55 (77.03%)   |   -11271.59   |   22924.89    |    22920.85     |
|           Neogale_vison           |   0.00   |    2     |    0.73 ( 4.97%)   |   -11271.59   |   22924.90    |    22920.85     |
|         Odobenus_rosmarus         |   0.00   |    2     |    0.20 (77.08%)   |   -11271.59   |   22924.89    |    22920.85     |
|          Mustela_erminea          |   0.00   |    2     |    0.20 (74.48%)   |   -11271.59   |   22924.89    |    22920.85     |
