species_key	exon_index	exon	assemblies_total	assemblies_ok	coverage_median	coverage_max	callable_fraction_median	identity_median	n_aligned_fraction_median	confidence_score_median	high_conf_assemblies	medium_or_high_assemblies
Addax nasomaculatus	1	exon_1	2	2	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8688524590163934	0.0	0.9416976508365726	2	2
Addax nasomaculatus	2	exon_2	2	2	1.0	1.0	1.0	0.8914473684210527	0.0	0.9728618421052633	2	2
Addax nasomaculatus	3	exon_3	2	2	0.9713261648745519	0.9713261648745519	0.9713261648745519	0.8886838868388683	0.0	0.9592677459032655	2	2
Addax nasomaculatus	4	exon_4	2	2	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.9032258064516129	0.0	0.9187641980917765	2	2
Addax nasomaculatus	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8943089430894309	0.0	0.9699482035142932	2	2
Addax nasomaculatus	6	exon_6	2	2	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8720602069614299	0.0	0.9470285046551558	2	2
Aepyceros melampus	1	exon_1	1	1	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8579234972677595	0.0	0.9389654103994142	1	1
Aepyceros melampus	2	exon_2	1	1	0.9638157894736842	0.9638157894736842	0.9638157894736842	0.8873720136518771	0.0	0.9555601086761272	1	1
Aepyceros melampus	3	exon_3	1	1	0.980884109916368	0.980884109916368	0.980884109916368	0.8635809987819733	0.0	0.957293099157859	1	1
Aepyceros melampus	4	exon_4	1	1	0.8685446009389671	0.8685446009389671	0.8685446009389671	0.8918918918918919	0.0	0.9138180433955082	1	1
Aepyceros melampus	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8943089430894309	0.0	0.9699482035142932	1	1
Aepyceros melampus	6	exon_6	1	1	0.9623318385650225	0.9623318385650225	0.9623318385650225	0.8760484622553588	0.0	0.9520614429180998	1	1
Alcelaphus buselaphus	1	exon_1	1	1	0.0	0.0	0.0	0.0		0.18333333333333332	0	0
