exon_1	NC_080191.1	74.219	128	33	0	1	128	25879587	25879714	3.80e-14	83.3
exon_2	NC_080191.1	89.091	55	6	0	4	58	25879828	25879882	6.42e-12	73.4
exon_3	NC_080191.1	97.015	134	4	0	1	134	25888082	25888215	5.23e-57	224
exon_3	NC_080186.1	77.099	131	30	0	4	134	25253754	25253884	4.30e-20	102
exon_4	NC_080191.1	92.157	102	8	0	1	102	25889582	25889683	2.29e-34	149
exon_5	NC_080191.1	98.000	100	2	0	1	100	25889797	25889896	1.95e-41	172
exon_5	NC_080195.1	80.851	94	18	0	7	100	50065126	50065219	1.83e-16	89.7
exon_5	NC_080189.1	77.660	94	20	1	8	100	76120879	76120972	4.90e-11	72.5
exon_5	NC_080186.1	73.494	83	22	0	18	100	25255172	25255254	4.59e-05	51.8
exon_6	NC_080191.1	92.632	95	7	0	1	95	25894431	25894525	1.09e-31	141
exon_7	NC_080191.1	93.182	132	9	0	1	132	25897939	25898070	7.13e-49	198
exon_7	NC_080191.1	90.244	41	4	0	1	41	138720272	138720232	1.57e-06	57.2
exon_7	NC_080186.1	76.515	132	31	0	1	132	25256979	25257110	5.14e-19	99.6
exon_7	NC_080199.1	86.207	58	7	1	1	57	62684018	62683961	3.04e-09	66.2
exon_8	NC_080191.1	98.876	89	1	0	1	89	25899967	25900055	1.28e-36	157
exon_9	NC_080191.1	90.566	106	4	1	1	106	25904353	25904452	8.43e-34	148
exon_10	NC_080191.1	96.951	164	5	0	1	164	25906646	25906809	1.48e-71	274
exon_10	NC_080186.1	78.873	142	30	0	18	159	25259861	25260002	5.92e-26	122
exon_10	NC_080189.1	76.129	155	37	0	1	155	76121389	76121543	3.07e-23	113
exon_10	NC_080195.1	77.143	140	32	0	16	155	50076491	50076630	3.74e-22	109
exon_11	NC_080191.1	98.734	79	1	0	1	79	25908827	25908905	2.87e-31	139
exon_11	NC_080195.1	79.747	79	16	0	1	79	50078151	50078229	3.50e-11	71.6
exon_11	NC_080189.1	79.747	79	16	0	1	79	76121553	76121631	3.50e-11	71.6
exon_12	NC_080191.1	95.238	126	6	0	1	126	25910547	25910672	5.51e-50	201
exon_12	NC_080195.1	79.365	126	26	0	1	126	50082678	50082803	7.67e-23	111
exon_12	NC_080189.1	79.365	126	26	0	1	126	76121632	76121757	7.67e-23	111
exon_12	NC_080186.1	75.397	126	31	0	1	126	25261875	25262000	8.75e-16	88.7
exon_13	NC_080191.1	96.094	128	5	0	1	128	25911249	25911376	3.79e-52	209
exon_13	NC_080186.1	82.031	128	23	0	1	128	25262286	25262413	1.02e-27	128
exon_13	NC_080195.1	75.229	109	27	0	2	110	50084449	50084557	5.64e-12	76.1
exon_13	NC_080189.1	70.642	109	30	1	2	110	76121759	76121865	2.24e-04	50.9
exon_14	NC_080191.1	97.207	179	5	0	1	179	25914107	25914285	1.19e-79	301
exon_14	NC_080195.1	77.326	172	39	0	8	179	50088869	50089040	1.04e-29	135
exon_14	NC_080189.1	76.582	158	34	1	17	174	76121900	76122054	2.80e-24	117
exon_15	NC_080191.1	92.021	188	15	0	1	188	25919310	25919497	6.07e-71	272
exon_15	NC_080186.1	78.378	185	40	0	4	188	25265151	25265335	1.17e-35	154
exon_15	NC_080195.1	74.731	186	47	0	1	186	50090388	50090573	1.99e-26	124
exon_15	NC_080189.1	73.656	186	49	0	1	186	76122060	76122245	1.03e-23	115
