model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.033,0.0,SRV,1
alternative,reference,Negative selection,0.253,0.0,SRV,1
alternative,reference,Negative selection,0.387,100.0,SRV,1
alternative,test,Diversifying selection,1.03,0.0,SRV,1
alternative,test,Diversifying selection,1.033,0.0,SRV,1
alternative,test,Negative selection,0.288,0.0,SRV,1
alternative,test,Negative selection,0.424,100.0,SRV,1
alternative,test,Negative selection,0.253,0.0,SRV,1
alternative,test,Negative selection,0.387,100.0,SRV,1
null,reference,Diversifying selection,2.074,0.0,SRV,1
null,reference,Negative selection,0.195,0.0,SRV,1
null,reference,Negative selection,0.397,100.0,SRV,1
null,test,Diversifying selection,2.074,0.0,SRV,1
null,test,Negative selection,0.195,0.0,SRV,1
null,test,Negative selection,0.397,100.0,SRV,1
alternative,reference,Diversifying selection,1.06,0.0,SRV,2
alternative,reference,Negative selection,0.306,0.0,SRV,2
alternative,reference,Negative selection,0.384,100.0,SRV,2
alternative,test,Diversifying selection,1.054,0.0,SRV,2
alternative,test,Diversifying selection,1.06,0.0,SRV,2
alternative,test,Negative selection,0.347,0.0,SRV,2
alternative,test,Negative selection,0.425,100.0,SRV,2
alternative,test,Negative selection,0.306,0.0,SRV,2
alternative,test,Negative selection,0.384,100.0,SRV,2
null,reference,Diversifying selection,2.147,0.0,SRV,2
null,reference,Negative selection,0.237,0.0,SRV,2
null,reference,Negative selection,0.397,100.0,SRV,2
null,test,Diversifying selection,2.147,0.0,SRV,2
null,test,Negative selection,0.237,0.0,SRV,2
null,test,Negative selection,0.397,100.0,SRV,2
alternative,reference,Diversifying selection,1.01,0.0,SRV,3
alternative,reference,Negative selection,0.332,0.0,SRV,3
alternative,reference,Negative selection,0.387,100.0,SRV,3
alternative,test,Diversifying selection,1.009,0.0,SRV,3
alternative,test,Diversifying selection,1.01,0.0,SRV,3
alternative,test,Negative selection,0.368,0.0,SRV,3
alternative,test,Negative selection,0.423,100.0,SRV,3
alternative,test,Negative selection,0.332,0.0,SRV,3
alternative,test,Negative selection,0.387,100.0,SRV,3
null,reference,Diversifying selection,2.096,0.0,SRV,3
null,reference,Negative selection,0.259,0.0,SRV,3
null,reference,Negative selection,0.397,100.0,SRV,3
null,test,Diversifying selection,2.096,0.0,SRV,3
null,test,Negative selection,0.259,0.0,SRV,3
null,test,Negative selection,0.397,100.0,SRV,3
alternative,reference,Diversifying selection,1.008,0.0,SRV,4
alternative,reference,Negative selection,0.386,99.997,SRV,4
alternative,reference,Negative selection,0.391,0.003,SRV,4
alternative,test,Diversifying selection,1.007,0.0,SRV,4
alternative,test,Diversifying selection,1.008,0.0,SRV,4
alternative,test,Negative selection,0.423,99.997,SRV,4
alternative,test,Negative selection,0.428,0.003,SRV,4
alternative,test,Negative selection,0.386,99.997,SRV,4
alternative,test,Negative selection,0.391,0.003,SRV,4
null,reference,Diversifying selection,1.731,0.0,SRV,4
null,reference,Negative selection,0.386,0.0,SRV,4
null,reference,Negative selection,0.398,100.0,SRV,4
null,test,Diversifying selection,1.731,0.0,SRV,4
null,test,Negative selection,0.386,0.0,SRV,4
null,test,Negative selection,0.398,100.0,SRV,4
alternative,reference,Diversifying selection,1.51,0.0,SRV,5
alternative,reference,Negative selection,0.328,0.0,SRV,5
alternative,reference,Negative selection,0.388,100.0,SRV,5
alternative,test,Diversifying selection,1.455,0.0,SRV,5
alternative,test,Diversifying selection,1.51,0.0,SRV,5
alternative,test,Negative selection,0.363,0.0,SRV,5
alternative,test,Negative selection,0.423,100.0,SRV,5
alternative,test,Negative selection,0.328,0.0,SRV,5
alternative,test,Negative selection,0.388,100.0,SRV,5
null,reference,Diversifying selection,3.455,0.0,SRV,5
null,reference,Negative selection,0.256,0.0,SRV,5
null,reference,Negative selection,0.397,100.0,SRV,5
null,test,Diversifying selection,3.455,0.0,SRV,5
null,test,Negative selection,0.256,0.0,SRV,5
null,test,Negative selection,0.397,100.0,SRV,5
alternative,reference,Diversifying selection,1.007,0.0,SRV,6
alternative,reference,Negative selection,0.223,0.0,SRV,6
alternative,reference,Negative selection,0.386,100.0,SRV,6
alternative,test,Diversifying selection,1.006,0.0,SRV,6
alternative,test,Diversifying selection,1.007,0.0,SRV,6
alternative,test,Negative selection,0.258,0.0,SRV,6
alternative,test,Negative selection,0.424,100.0,SRV,6
alternative,test,Negative selection,0.223,0.0,SRV,6
alternative,test,Negative selection,0.386,100.0,SRV,6
null,reference,Diversifying selection,2.074,0.0,SRV,6
null,reference,Negative selection,0.174,0.0,SRV,6
null,reference,Negative selection,0.397,100.0,SRV,6
null,test,Diversifying selection,2.074,0.0,SRV,6
null,test,Negative selection,0.174,0.0,SRV,6
null,test,Negative selection,0.397,100.0,SRV,6
alternative,reference,Diversifying selection,1.031,0.0,SRV,7
alternative,reference,Negative selection,0.203,0.0,SRV,7
alternative,reference,Negative selection,0.387,100.0,SRV,7
alternative,test,Diversifying selection,1.028,0.0,SRV,7
alternative,test,Diversifying selection,1.031,0.0,SRV,7
alternative,test,Negative selection,0.236,0.0,SRV,7
alternative,test,Negative selection,0.424,100.0,SRV,7
alternative,test,Negative selection,0.203,0.0,SRV,7
alternative,test,Negative selection,0.387,100.0,SRV,7
null,reference,Diversifying selection,2.06,0.0,SRV,7
null,reference,Negative selection,0.156,0.0,SRV,7
null,reference,Negative selection,0.397,100.0,SRV,7
null,test,Diversifying selection,2.06,0.0,SRV,7
null,test,Negative selection,0.156,0.0,SRV,7
null,test,Negative selection,0.397,100.0,SRV,7
alternative,reference,Diversifying selection,1.006,0.0,SRV,8
alternative,reference,Negative selection,0.37,83.842,SRV,8
alternative,reference,Negative selection,0.475,16.158,SRV,8
alternative,test,Diversifying selection,1.005,0.0,SRV,8
