replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.5747,0.79,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.5747,0.8,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.5751,0.8,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.575,0.8,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.7023,0.78,-5858.66,11787.78,35,-5858.73,11785.9,34,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7022,0.79,-5858.66,11787.78,35,-5858.73,11785.9,34,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.5748,0.8,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.5748,0.8,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.665,0.79,-5858.66,11787.78,35,-5858.76,11785.94,34,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.5752,0.8,-5858.66,11785.75,34,-5858.82,11784.04,33,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.5752,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.5746,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.5749,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.5757,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.5751,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.5749,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.5758,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.5746,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.5761,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.5754,0.8,-5858.66,11789.81,36,-5858.82,11788.09,35,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.5751,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.5759,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.5748,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.5732,0.79,-5858.67,11795.9,39,-5858.83,11794.19,38,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.5746,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.5751,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.5752,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.5747,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.576,0.8,-5858.66,11793.86,38,-5858.82,11792.15,37,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.7505,0.73,-5858.66,11795.88,39,-5858.71,11793.95,38,0.224,0.2661,Convergence/flat likelihood; Collapsed rate class
