taxon	delta_Iss
Acomys_russatus	-0.0013127507014605022
Alexandromys_fortis	0.0009050551060265366
Apodemus_sylvaticus	-0.00021991601951221185
Arvicanthis_niloticus	0.0008205619788080876
Arvicola_amphibius	0.0011437541719329647
Chionomys_nivalis	0.001151801514791606
Cricetulus_griseus	0.0007366089818293675
Dipodomys_merriami	-0.0018932305215020595
Dipodomys_ordii	-0.0018350413662411025
Dipodomys_spectabilis	-0.0017589862054176453
Fukomys_damarensis	-0.002878125005842058
Grammomys_surdaster	0.0006294714253223532
Heterocephalus_glaber	-0.0030322858955871557
Ictidomys_tridecemlineatus	0.0001528451111492135
Marmota_flaviventris	3.7738796199282554e-05
Marmota_marmota	0.00012399159120687897
Marmota_monax	6.820856668188213e-05
Mastomys_coucha	-0.00010689825200874137
Meriones_unguiculatus	-0.0004371828819791368
Mesocricetus_auratus	0.0009326137926994049
Microtus_ochrogaster	0.001197888572404604
Microtus_oregoni	0.0011705302775065485
Mus_caroli	0.0005408613519695682
Mus_musculus	0.0008957612863529363
Mus_pahari	0.000496850070916266
Myodes_glareolus	0.0008410258923071956
Nannospalax_galili	-0.0008037293943173596
Onychomys_torridus	0.000506103512835282
Perognathus_longimembris	-0.0021890599350256335
Peromyscus_californicus	0.0010706295196648286
Peromyscus_eremicus	0.0011735941611359935
Peromyscus_maniculatus	0.0008998831722774325
Phodopus_roborovskii	0.00018849683116189953
Psammomys_obesus	-0.0003026683057285595
Rattus_norvegicus	-0.0002659707122814048
Sciurus_carolinensis	-0.00017488052756881034
Urocitellus_parryii	0.00018662981347108976
Oryctolagus_cuniculus	-0.0016192085953655733
Lepus_europaeus	-0.0017373553888530568
