branch	parent	child	child_is_tip	branch_length	codon_sites	#MH(>=2)	#SH(=1)	SumDist(0..3)	MH_per_unit_length	MH_per_expected_nt_subs
0	INTERNAL	14	0	62.7941	929	7	67	82	0.111475	3.99983e-05
1	14	Oryctolagus_cuniculus	1	16.1765	929	0	28	28	0	0
2	14	Lepus_europaeus	1	16.1765	929	2	30	34	0.123636	4.43618e-05
3	INTERNAL	46	0	8.76811	929	7	69	85	0.798348	0.000286454
4	46	35	0	35.7399	929	4	92	100	0.11192	4.01578e-05
5	35	36	0	23.08	929	2	52	56	0.0866553	3.10927e-05
6	36	25	0	6.22711	929	0	14	14	0	0
7	25	Marmota_flaviventris	1	5.15553	929	0	12	12	0	0
8	25	13	0	0.75224	929	0	0	0	0	0
9	13	Marmota_marmota	1	4.40329	929	0	27	27	0	0
10	13	Marmota_monax	1	4.40329	929	0	10	10	0	0
11	36	37	0	2.60764	929	0	11	11	0	0
12	37	Ictidomys_tridecemlineatus	1	8.775	929	0	14	14	0	0
13	37	Urocitellus_parryii	1	8.775	929	1	11	13	0.11396	4.08899e-05
14	35	Sciurus_carolinensis	1	34.4626	929	1	55	57	0.029017	1.04115e-05
15	46	66	0	0.29125	929	4	31	39	13.7339	0.00492785
16	66	71	0	1.59369	929	4	32	40	2.5099	0.000900574
17	71	78	0	24.8116	929	8	80	97	0.32243	0.000115691
18	78	92	0	17.3336	929	8	86	102	0.461531	0.000165601
19	92	47	0	7.62238	929	2	34	38	0.262385	9.41461e-05
20	47	33	0	3.63705	929	2	59	63	0.549896	0.000197308
21	33	43	0	3.32707	929	0	14	14	0	0
22	43	34	0	0.41396	929	0	12	12	0	0
23	34	Peromyscus_californicus	1	11.1719	929	1	26	28	0.0895101	3.2117e-05
24	34	Peromyscus_eremicus	1	11.1719	929	1	17	19	0.0895101	3.2117e-05
25	43	Peromyscus_maniculatus	1	11.5859	929	1	44	46	0.086312	3.09695e-05
26	33	Onychomys_torridus	1	14.913	929	1	65	67	0.0670558	2.40602e-05
27	47	63	0	1.41686	929	0	13	13	0	0
28	63	60	0	6.64748	929	1	71	73	0.150433	5.39767e-05
29	60	57	0	0.63517	929	0	12	12	0	0
30	57	49	0	1.14978	929	0	20	20	0	0
31	49	50	0	0.70521	929	1	19	21	1.41802	0.000508797
32	50	51	0	0.76189	929	0	6	6	0	0
33	51	Microtus_oregoni	1	7.23361	929	0	14	14	0	0
34	51	Microtus_ochrogaster	1	7.23361	929	0	23	23	0	0
35	50	Alexandromys_fortis	1	7.9955	929	0	23	23	0	0
36	49	Chionomys_nivalis	1	8.70071	929	0	33	33	0	0
37	57	Arvicola_amphibius	1	9.85049	929	0	38	38	0	0
38	60	Myodes_glareolus	1	10.4857	929	1	52	54	0.0953683	3.4219e-05
39	63	48	0	0	929	1	38	40	inf	inf
40	48	56	0	2.76267	929	0	14	14	0	0
41	56	Mesocricetus_auratus	1	14.3705	929	1	47	49	0.0695871	2.49685e-05
42	56	Cricetulus_griseus	1	14.3705	929	2	70	74	0.139174	4.9937e-05
43	48	Phodopus_roborovskii	1	17.1331	929	5	87	97	0.291832	0.000104712
44	92	94	0	13.7278	929	2	33	37	0.14569	5.22748e-05
45	94	82	0	0.79541	929	3	63	69	3.77164	0.0013533
46	82	Rattus_norvegicus	1	11.6492	929	7	110	124	0.600901	0.000215609
47	82	83	0	1.59693	929	0	20	20	0	0
48	83	84	0	0.51211	929	1	25	27	1.95271	0.000700648
49	84	72	0	0.34832	929	0	5	5	0	0
50	72	73	0	1.98989	929	1	25	27	0.50254	0.000180316
51	73	68	0	1.61238	929	4	33	41	2.4808	0.000890134
52	68	Mus_musculus	1	5.58954	929	1	17	19	0.178906	6.41929e-05
53	68	Mus_caroli	1	5.58954	929	0	35	35	0	0
54	73	Mus_pahari	1	7.20192	929	0	59	59	0	0
55	72	Mastomys_coucha	1	9.19181	929	7	86	101	0.761548	0.00027325
56	84	Apodemus_sylvaticus	1	9.54013	929	5	93	103	0.524102	0.000188052
57	83	87	0	1.86198	929	1	36	38	0.537063	0.000192703
58	87	Grammomys_surdaster	1	8.19026	929	0	43	43	0	0
59	87	Arvicanthis_niloticus	1	8.19026	929	1	40	42	0.122096	4.38092e-05
60	94	79	0	0.71356	929	3	34	40	4.20427	0.00150853
61	79	Acomys_russatus	1	11.731	929	12	145	171	1.02293	0.000367036
62	79	80	0	2.38422	929	4	118	126	1.6777	0.000601973
63	80	Psammomys_obesus	1	9.3468	929	1	23	25	0.106988	3.83884e-05
64	80	Meriones_unguiculatus	1	9.3468	929	1	28	30	0.106988	3.83884e-05
65	78	Nannospalax_galili	1	43.506	929	8	131	147	0.183883	6.59787e-05
66	71	77	0	37.9559	929	12	148	173	0.316156	0.00011344
67	77	Perognathus_longimembris	1	30.3616	929	6	88	101	0.197618	7.0907e-05
68	77	97	0	21.0911	929	6	95	107	0.28448	0.000102074
69	97	Dipodomys_spectabilis	1	9.27055	929	0	16	16	0	0
70	97	98	0	2.57055	929	0	7	7	0	0
71	98	Dipodomys_merriami	1	6.7	929	1	31	33	0.149254	5.35535e-05
72	98	Dipodomys_ordii	1	6.7	929	0	23	23	0	0
73	66	67	0	37.765	929	13	156	183	0.344234	0.000123514
74	67	Heterocephalus_glaber	1	32.1463	929	4	94	102	0.124431	4.4647e-05
75	67	Fukomys_damarensis	1	32.1463	929	2	92	96	0.0622156	2.23235e-05
