branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	14	0	62.7941	1	0	0
1	14	Oryctolagus_cuniculus	1	16.1765	1	0	0
2	14	Lepus_europaeus	1	16.1765	1	0	0
3	INTERNAL	46	0	8.76811	1	0	0
4	46	35	0	35.7399	1	0	0
5	35	36	0	23.08	1	0	0
6	36	25	0	6.22711	1	0	0
7	25	Marmota_flaviventris	1	5.15553	1	0	0
8	25	13	0	0.75224	1	0	0
9	13	Marmota_marmota	1	4.40329	1	0	0
10	13	Marmota_monax	1	4.40329	1	0	0
11	36	37	0	2.60764	1	0	0
12	37	Ictidomys_tridecemlineatus	1	8.775	1	0	0
13	37	Urocitellus_parryii	1	8.775	1	0	0
14	35	Sciurus_carolinensis	1	34.4626	1	0	0
15	46	66	0	0.29125	1	0	0
16	66	71	0	1.59369	1	0	0
17	71	78	0	24.8116	1	0	0
18	78	92	0	17.3336	1	0	0
19	92	47	0	7.62238	1	0	0
20	47	33	0	3.63705	1	0	0
21	33	43	0	3.32707	1	0	0
22	43	34	0	0.41396	1	0	0
23	34	Peromyscus_californicus	1	11.1719	1	0	0
24	34	Peromyscus_eremicus	1	11.1719	1	0	0
25	43	Peromyscus_maniculatus	1	11.5859	1	0	0
26	33	Onychomys_torridus	1	14.913	1	0	0
27	47	63	0	1.41686	1	0	0
28	63	60	0	6.64748	1	0	0
29	60	57	0	0.63517	1	0	0
30	57	49	0	1.14978	1	0	0
31	49	50	0	0.70521	1	0	0
32	50	51	0	0.76189	1	0	0
33	51	Microtus_oregoni	1	7.23361	1	0	0
34	51	Microtus_ochrogaster	1	7.23361	1	0	0
35	50	Alexandromys_fortis	1	7.9955	1	0	0
36	49	Chionomys_nivalis	1	8.70071	1	0	0
37	57	Arvicola_amphibius	1	9.85049	1	0	0
38	60	Myodes_glareolus	1	10.4857	1	0	0
39	63	48	0	0	1	0	0
40	48	56	0	2.76267	1	0	0
41	56	Mesocricetus_auratus	1	14.3705	1	0	0
42	56	Cricetulus_griseus	1	14.3705	1	0	0
43	48	Phodopus_roborovskii	1	17.1331	1	0	0
44	92	94	0	13.7278	1	0	0
45	94	82	0	0.79541	1	0	0
46	82	Rattus_norvegicus	1	11.6492	1	0	0
47	82	83	0	1.59693	1	0	0
48	83	84	0	0.51211	1	0	0
49	84	72	0	0.34832	1	0	0
50	72	73	0	1.98989	1	0	0
51	73	68	0	1.61238	1	0	0
52	68	Mus_musculus	1	5.58954	1	0	0
53	68	Mus_caroli	1	5.58954	1	0	0
54	73	Mus_pahari	1	7.20192	1	0	0
