exon_3	NW_006804060.1	93.233	133	9	0	1	133	2215606	2215474	2.23e-49	200
exon_3	NW_006805243.1	77.692	130	29	0	4	133	116715	116844	1.32e-20	104
exon_4	NW_006804060.1	91.089	101	9	0	2	102	2211397	2211297	3.63e-32	142
exon_5	NW_006804060.1	91.000	100	9	0	1	100	2211164	2211065	1.23e-31	141
exon_5	NW_006804565.1	79.787	94	19	0	7	100	74027	73934	8.31e-15	85.1
exon_5	NW_006805243.1	77.108	83	19	0	18	100	118599	118681	7.79e-09	65.3
exon_6	NW_006804060.1	94.624	93	5	0	3	95	2208095	2208003	2.69e-33	146
exon_7	NW_006804060.1	89.394	132	14	0	1	132	2205694	2205563	2.49e-42	176
exon_7	NW_006805243.1	78.788	132	28	0	1	132	123366	123497	2.50e-23	113
exon_7	NW_006804698.1	90.000	50	3	1	1	50	189443	189396	3.25e-09	66.2
exon_7	NW_006804468.1	88.000	50	4	1	1	50	1092093	1092046	1.38e-07	61.7
exon_7	NW_006804149.1	87.805	41	5	0	1	41	928666	928626	7.16e-05	52.7
exon_8	NW_006804060.1	98.876	89	1	0	1	89	2200527	2200439	1.37e-36	157
exon_8	NW_006804565.1	73.256	86	23	0	1	86	59962	59877	4.21e-05	52.7
exon_9	NW_006804060.1	87.129	101	7	1	6	106	2197169	2197075	2.95e-27	125
exon_10	NW_006804060.1	89.634	164	17	0	1	164	2194346	2194183	3.07e-55	220
exon_10	NW_006804565.1	75.000	164	41	0	1	164	58627	58464	1.14e-22	112
exon_10	NW_006805243.1	75.316	158	39	0	1	158	128698	128855	4.00e-22	110
exon_10	NW_006804267.1	77.778	63	14	0	45	107	2360972	2360910	9.41e-05	51.8
exon_11	NW_006804060.1	93.671	79	5	0	1	79	2193272	2193194	8.25e-26	121
exon_11	NW_006804565.1	81.013	79	15	0	1	79	48888	48810	3.08e-12	76.1
exon_11	NW_006804565.1	81.013	79	15	0	1	79	56951	56873	3.08e-12	76.1
exon_11	NW_006805243.1	77.215	79	18	0	1	79	129047	129125	1.94e-08	62.6
exon_12	NW_006804060.1	93.651	126	8	0	1	126	2190692	2190567	3.05e-47	192
exon_12	NW_006805243.1	77.778	126	28	0	1	126	132549	132674	4.25e-20	102
exon_12	NW_006804565.1	77.778	126	28	0	1	126	54658	54533	4.25e-20	102
exon_13	NW_006804060.1	92.188	128	10	0	1	128	2189863	2189736	1.33e-45	187
exon_13	NW_006805243.1	82.031	128	23	0	1	128	133626	133753	1.09e-27	128
exon_13	NW_006804565.1	76.147	109	26	0	2	110	50716	50608	1.42e-13	80.6
exon_14	NW_006804060.1	91.061	179	16	0	1	179	2186910	2186732	5.73e-65	251
exon_14	NW_006804565.1	77.301	163	37	0	17	179	46230	46068	1.64e-27	128
exon_15	NW_006804060.1	87.766	188	23	0	1	188	2184978	2184791	4.67e-60	236
exon_15	NW_006805243.1	78.919	185	39	0	4	188	146667	146851	1.03e-36	159
exon_15	NW_006804565.1	76.087	184	44	0	1	184	37201	37018	1.18e-29	134
