replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4999,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2474,0.1439,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4999,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2466,0.1437,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.4999,1.29,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2476,0.1441,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.5001,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2472,0.1439,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.5002,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2462,0.1438,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.5007,1.28,-4878.25,9824.93,34,-4878.47,9823.35,33,0.2466,0.1437,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.5005,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2466,0.1437,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.5002,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2466,0.1439,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.5001,1.29,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2464,0.1438,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.5004,1.28,-4878.25,9824.92,34,-4878.47,9823.35,33,0.2474,0.1439,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,1.0,1.3,-4879.76,9832.0,36,-4878.47,9827.4,35,0.2466,0.1437,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.4544,1.3,-4879.76,9831.99,36,-4880.04,9830.53,35,0.2464,0.1438,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,1.0,1.3,-4879.76,9832.0,36,-4878.47,9827.4,35,0.2465,0.1438,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,1.0,1.3,-4879.76,9832.0,36,-4878.47,9827.4,35,0.2464,0.1439,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.5007,1.28,-4878.25,9828.98,36,-4878.47,9827.4,35,0.2463,0.144,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.502,1.27,-4878.25,9828.98,36,-4878.47,9827.4,35,0.2472,0.1439,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,1.0,1.3,-4879.75,9831.99,36,-4878.47,9827.4,35,0.2464,0.1439,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,1.0,1.3,-4879.75,9831.99,36,-4878.47,9827.4,35,0.2467,0.1438,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,1.0,1.3,-4879.76,9831.99,36,-4878.47,9827.4,35,0.2476,0.1442,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.5,1.29,-4878.25,9828.98,36,-4878.47,9827.4,35,0.2466,0.1438,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,1.0,1.3,-4879.76,9836.05,38,-4878.47,9831.46,37,0.2466,0.1437,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,1.0,1.3,-4879.76,9836.05,38,-4878.47,9831.46,37,0.2464,0.1439,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.5002,1.29,-4878.25,9833.03,38,-4878.47,9831.46,37,0.2469,0.1438,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.5002,1.28,-4878.25,9833.03,38,-4878.47,9831.46,37,0.2464,0.1439,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.5002,1.29,-4878.25,9833.03,38,-4878.47,9831.46,37,0.2466,0.1437,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.5002,1.28,-4878.25,9833.03,38,-4878.47,9831.46,37,0.2469,0.1437,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,1.0,1.3,-4879.76,9836.05,38,-4878.47,9831.46,37,0.2466,0.1438,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4551,1.3,-4879.76,9836.05,38,-4880.03,9834.58,37,0.246,0.1436,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.4541,1.3,-4879.76,9836.05,38,-4880.04,9834.58,37,0.2469,0.1437,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,1.0,1.3,-4879.76,9836.05,38,-4878.47,9831.46,37,0.2464,0.1439,Convergence/flat likelihood; Collapsed rate class
