Type,Num_Taxa,Taxa
Shared,2,"('Acomys_russatus', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Alexandromys_fortis', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Myodes_glareolus')"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Grammomys_surdaster', 'Mastomys_coucha', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari')"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Apodemus_sylvaticus',)"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Mus_caroli', 'Mus_musculus')"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Psammomys_obesus',)"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Mus_musculus',)"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Arvicola_amphibius',)"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Heterocephalus_glaber',)"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Oryctolagus_cuniculus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Dipodomys_spectabilis',)"
Shared,2,"('Acomys_russatus', 'Alexandromys_fortis', 'Apodemus_sylvaticus', 'Arvicanthis_niloticus', 'Arvicola_amphibius', 'Chionomys_nivalis', 'Cricetulus_griseus', 'Dipodomys_merriami', 'Dipodomys_ordii', 'Dipodomys_spectabilis', 'Fukomys_damarensis', 'Grammomys_surdaster', 'Heterocephalus_glaber', 'Ictidomys_tridecemlineatus', 'Lepus_europaeus', 'Marmota_flaviventris', 'Marmota_marmota', 'Marmota_monax', 'Mastomys_coucha', 'Meriones_unguiculatus', 'Mesocricetus_auratus', 'Microtus_ochrogaster', 'Microtus_oregoni', 'Mus_caroli', 'Mus_musculus', 'Mus_pahari', 'Myodes_glareolus', 'Nannospalax_galili', 'Onychomys_torridus', 'Perognathus_longimembris', 'Peromyscus_californicus', 'Peromyscus_eremicus', 'Peromyscus_maniculatus', 'Phodopus_roborovskii', 'Psammomys_obesus', 'Rattus_norvegicus', 'Sciurus_carolinensis', 'Urocitellus_parryii');('Oryctolagus_cuniculus',)"
