replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2606,0.39,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.2607,0.38,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.2607,0.39,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.2607,0.39,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.2606,0.39,-4952.2,9984.79,40,-4952.83,9984.04,39,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2606,26.53,-4953.27,9984.91,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.2606,0.39,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.2607,0.38,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2607,0.39,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.2607,0.38,-4952.2,9982.77,39,-4952.83,9982.02,38,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2611,0.38,-4952.2,9986.81,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.2612,0.39,-4952.2,9986.82,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2619,0.38,-4952.2,9986.82,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.2606,26.98,-4953.27,9988.95,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2615,0.38,-4952.2,9986.82,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.2613,0.38,-4952.2,9986.81,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.2612,0.39,-4952.2,9986.81,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.2613,0.39,-4952.2,9986.81,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.2609,0.39,-4952.2,9986.81,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2606,0.38,-4952.2,9986.81,41,-4952.83,9986.06,40,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2606,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.8925,0.4,-4952.2,9992.87,44,-4952.21,9990.87,43,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2606,0.38,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2608,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2607,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2606,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.2607,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.2606,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.2606,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2606,0.39,-4952.2,9990.85,43,-4952.83,9990.1,42,0.226,0.5535,Convergence/flat likelihood; Collapsed rate class
