assembly_accession	assembly_name	organism_name	species_key	assembly_level	status	candidate_id	contig	strand	start	end	span	exon_count	coverage_sum	order_coherence	bitscore_sum	score	locus_length	locus_n_count	locus_n_fraction	locus_n_runs	locus_longest_n_run	error
GCA_000003055.5	Bos_taurus_UMD_3.1.1	Bos taurus	Bos taurus	Chromosome	ok	GK000009.2:+:1	GK000009.2	+	34258727.0	34278639.0	19913.0	6.0	5.823131828203328	1.0	3226.0	8569.539548460998	39913.0	0.0	0.0	0.0	0.0	
GCA_000003205.6	Btau_5.0.1	Bos taurus	Bos taurus	Chromosome	ok	CM000185.7:+:1	CM000185.7	+	34394994.0	34414906.0	19913.0	6.0	5.823131828203328	1.0	3226.0	8569.539548460998	39913.0	0.0	0.0	0.0	0.0	
GCA_000005525.1	Ovis_aries_1.0	Ovis aries	Ovis aries	Chromosome	ok	CM000892.1:+:1	CM000892.1	+	23288688.0	23308446.0	19759.0	5.0	3.9350705318696617	1.0	1788.0	6859.321159560898	39759.0	13639.0	0.3430418270077215	48.0	1854.0	
GCA_000180995.3	Bubalus_bubalis_Jaffrabadi_v3.0	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	ACZF03010829.1:+:1	ACZF03010829.1	+	25207.0	45240.0	20034.0	4.0	3.9584826762246115	1.0	2599.0	5947.444802867383	40034.0	2247.0	0.05612729180196833	8.0	1590.0	
GCA_000191605.1	WTD_RRL	Odocoileus virginianus	Odocoileus virginianus	Contig	no_blast_hit																	
GCA_000191625.1	RRL-RSL_1.0	Odocoileus virginianus	Odocoileus virginianus	Contig	no_blast_hit																	
GCA_000247795.2	Bos_indicus_1.0	Bos indicus	Bos indicus	Chromosome	ok	CM003029.1:+:1	CM003029.1	+	35524877.0	35544623.0	19747.0	6.0	5.855389892719457	1.0	3228.0	8579.416967815836	39747.0	1017.0	0.025586836742395654	5.0	863.0	
GCA_000298355.1	BosGru_v2.0	Bos mutus	Bos mutus	Scaffold	ok	JH881239.1:+:1	JH881239.1	+	146042.0	165709.0	19668.0	6.0	5.733324165019926	1.0	3175.0	8537.497249505977	39668.0	828.0	0.02087324795805183	2.0	795.0	
GCA_000298735.2	Oar_v4.0	Ovis aries	Ovis aries	Chromosome	ok	CM001589.2:+:1	CM001589.2	+	20840880.0	20860895.0	20016.0	6.0	5.81174785304632	1.0	2723.0	8515.824355913895	40016.0	0.0	0.0	0.0	0.0	
GCA_000317765.2	CHIR_2.0	Capra hircus	Capra hircus	Chromosome	ok	CM001718.2:+:1	CM001718.2	+	21872815.0	21893841.0	21027.0	6.0	5.9385925532667585	1.0	2712.0	8552.777765980029	41027.0	1175.0	0.028639676310722208	3.0	1173.0	
GCA_000400835.1	PHO1.0	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	KE113818.1:+:1	KE113818.1	+	50706.0	71144.0	20439.0	6.0	5.807137154205726	1.0	2737.0	8515.841146261719	40439.0	0.0	0.0	0.0	0.0	
GCA_000471725.1	UMD_CASPUR_WB_2.0	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	KI417593.1:-:1	KI417593.1	-	449943.0	455149.0	5207.0	3.0	2.991935483870968	1.0	1663.0	4563.880645161291	18219.0	100.0	0.005488775454196169	1.0	100.0	
GCA_000751575.1	kmer631	Capreolus capreolus	Capreolus capreolus	Scaffold	ok	CCMK010168438.1:-:1	CCMK010168438.1	-	10886.0	27327.0	16442.0	5.0	4.126448703539858	1.0	2382.3	6976.164611061957	26502.0	128.0	0.004829824164214022	2.0	76.0	
GCA_000754665.1	Bison_UMD1.0	Bison bison bison	Bison bison	Scaffold	ok	KN265169.1:+:1	KN265169.1	+	13604502.0	13625051.0	20550.0	6.0	5.823131828203328	1.0	3226.0	8569.539548460998	40550.0	594.0	0.014648581997533909	3.0	394.0	
GCA_000765075.1	Caeg1	Capra aegagrus	Capra aegagrus	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_000765075.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_000765075.1/GCA_000765075.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_000765115.1	Oori1	Ovis aries musimon	Ovis aries	Scaffold	ok	HG925253.1:+:1	HG925253.1	+	1838541.0	1858333.0	19793.0	6.0	5.816526825567228	1.0	2704.0	8515.358047670168	39793.0	1460.0	0.03668987007765185	1.0	1460.0	
GCA_000978405.1	CapAeg_1.0	Capra aegagrus	Capra aegagrus	Chromosome	ok	CM003222.1:+:1	CM003222.1	+	19694932.0	19719354.0	24423.0	6.0	5.9385925532667585	1.0	2712.0	8552.777765980029	44423.0	4805.0	0.10816468946266573	2.0	3340.0	
GCA_001039535.1	ASM103953v1	Ovis canadensis canadensis	Ovis canadensis	Chromosome	ok	CP011893.1:+:1	CP011893.1	+	20894184.0	20914206.0	20023.0	6.0	5.81174785304632	1.0	2678.0	8511.324355913895	40023.0	884.0	0.022087299802613498	10.0	521.0	
GCA_001651235.1	ASM165123v1	Giraffa tippelskirchi	Giraffa tippelskirchi	Scaffold	ok	LVKQ01S001773.1:-:1	LVKQ01S001773.1	-	117019.0	138048.0	21030.0	6.0	5.971316927169937	1.0	3513.0	8642.69507815098	41030.0	5.0	0.00012186205215695832	5.0	1.0	
GCA_001660835.1	ASM166083v1	Okapia johnstoni	Okapia johnstoni	Scaffold	ok	LVCL01S0002937.1:-:1	LVCL01S0002937.1	-	42178.0	62658.0	20481.0	6.0	5.971316927169937	1.0	3485.0	8639.895078150981	40481.0	133.0	0.0032854919591907314	2.0	132.0	
GCA_001704415.2	ARS1.2	Capra hircus	Capra hircus	Chromosome	ok	CM004570.1:+:1	CM004570.1	+	21029116.0	21048939.0	19824.0	6.0	5.9385925532667585	1.0	2712.0	8552.777765980029	39824.0	0.0	0.0	0.0	0.0	
GCA_002102435.1	Ovir.te_1.0	Odocoileus virginianus texanus	Odocoileus virginianus	Scaffold	ok	KZ101336.1:+:1	KZ101336.1	+	1197223.0	1217442.0	20220.0	6.0	5.849251199470406	1.0	2856.0	8540.375359841122	40220.0	0.0	0.0	0.0	0.0	
GCA_002197005.1	CerEla1.0	Cervus elaphus hippelaphus	Cervus elaphus	Chromosome	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_002197005.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_002197005.1/GCA_002197005.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_002201775.1	ALER1.0	Ammotragus lervia	Ammotragus lervia	Scaffold	ok	NIVO01068596.1:-:1	NIVO01068596.1	-	203784.0	223073.0	19290.0	6.0	5.9385925532667585	1.0	2701.0	8551.677765980028	39290.0	1347.0	0.034283532705523034	4.0	832.0	
GCA_002263795.4	ARS-UCD2.0	Bos taurus	Bos taurus	Chromosome	ok	CM008176.2:+:1	CM008176.2	+	33818779.0	33838678.0	19900.0	6.0	5.83119634433236	1.0	3241.0	8573.458903299708	39900.0	0.0	0.0	0.0	0.0	
GCA_002443075.1	Milu1.0	Elaphurus davidianus	Elaphurus davidianus	Scaffold	ok	JRFZ01055316.1:+:1	JRFZ01055316.1	+	30411.0	47519.0	17109.0	5.0	4.957718175135211	1.0	2623.0	7249.615452540564	37109.0	0.0	0.0	0.0	0.0	
