branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	13	0	44.28	1	0	0
1	13	Equus_caballus	1	11.1	1	0	0
2	13	14	0	8.32	1	0	0
3	14	Equus_asinus	1	2.78	1	0	0
4	14	Equus_quagga	1	2.78	1	0	0
5	INTERNAL	25	0	40.1665	1	0	0
6	25	Ceratotherium_simum	1	15.2135	1	0	0
7	25	Diceros_bicornis	1	15.2135	1	0	0
0	INTERNAL	13	0	44.28	2	0	0
1	13	Equus_caballus	1	11.1	2	0	0
2	13	14	0	8.32	2	0	0
3	14	Equus_asinus	1	2.78	2	0	0
4	14	Equus_quagga	1	2.78	2	0	0
5	INTERNAL	25	0	40.1665	2	0	0
6	25	Ceratotherium_simum	1	15.2135	2	0	0
7	25	Diceros_bicornis	1	15.2135	2	0	0
0	INTERNAL	13	0	44.28	3	0	0
1	13	Equus_caballus	1	11.1	3	0	0
2	13	14	0	8.32	3	0	0
3	14	Equus_asinus	1	2.78	3	0	0
4	14	Equus_quagga	1	2.78	3	0	0
5	INTERNAL	25	0	40.1665	3	0	0
6	25	Ceratotherium_simum	1	15.2135	3	0	0
7	25	Diceros_bicornis	1	15.2135	3	0	0
0	INTERNAL	13	0	44.28	4	0	0
1	13	Equus_caballus	1	11.1	4	0	0
2	13	14	0	8.32	4	0	0
3	14	Equus_asinus	1	2.78	4	0	0
4	14	Equus_quagga	1	2.78	4	0	0
5	INTERNAL	25	0	40.1665	4	1	0
6	25	Ceratotherium_simum	1	15.2135	4	0	0
7	25	Diceros_bicornis	1	15.2135	4	0	0
0	INTERNAL	13	0	44.28	5	0	0
1	13	Equus_caballus	1	11.1	5	0	0
2	13	14	0	8.32	5	0	0
3	14	Equus_asinus	1	2.78	5	0	0
4	14	Equus_quagga	1	2.78	5	0	0
5	INTERNAL	25	0	40.1665	5	0	0
6	25	Ceratotherium_simum	1	15.2135	5	0	0
7	25	Diceros_bicornis	1	15.2135	5	0	0
0	INTERNAL	13	0	44.28	6	0	0
1	13	Equus_caballus	1	11.1	6	0	0
2	13	14	0	8.32	6	0	0
3	14	Equus_asinus	1	2.78	6	0	0
4	14	Equus_quagga	1	2.78	6	0	0
5	INTERNAL	25	0	40.1665	6	0	0
6	25	Ceratotherium_simum	1	15.2135	6	0	0
7	25	Diceros_bicornis	1	15.2135	6	0	0
0	INTERNAL	13	0	44.28	7	0	0
1	13	Equus_caballus	1	11.1	7	0	0
2	13	14	0	8.32	7	0	0
3	14	Equus_asinus	1	2.78	7	0	0
4	14	Equus_quagga	1	2.78	7	0	0
5	INTERNAL	25	0	40.1665	7	0	0
6	25	Ceratotherium_simum	1	15.2135	7	0	0
7	25	Diceros_bicornis	1	15.2135	7	0	0
0	INTERNAL	13	0	44.28	8	0	0
1	13	Equus_caballus	1	11.1	8	0	0
2	13	14	0	8.32	8	0	0
3	14	Equus_asinus	1	2.78	8	0	0
4	14	Equus_quagga	1	2.78	8	0	0
5	INTERNAL	25	0	40.1665	8	0	0
6	25	Ceratotherium_simum	1	15.2135	8	0	0
7	25	Diceros_bicornis	1	15.2135	8	0	0
0	INTERNAL	13	0	44.28	9	1	0
1	13	Equus_caballus	1	11.1	9	0	0
2	13	14	0	8.32	9	0	0
3	14	Equus_asinus	1	2.78	9	0	0
4	14	Equus_quagga	1	2.78	9	0	0
5	INTERNAL	25	0	40.1665	9	0	0
6	25	Ceratotherium_simum	1	15.2135	9	0	0
7	25	Diceros_bicornis	1	15.2135	9	0	0
0	INTERNAL	13	0	44.28	10	0	0
1	13	Equus_caballus	1	11.1	10	0	0
2	13	14	0	8.32	10	0	0
3	14	Equus_asinus	1	2.78	10	0	0
4	14	Equus_quagga	1	2.78	10	0	0
5	INTERNAL	25	0	40.1665	10	0	0
6	25	Ceratotherium_simum	1	15.2135	10	0	0
7	25	Diceros_bicornis	1	15.2135	10	0	0
0	INTERNAL	13	0	44.28	11	0	0
1	13	Equus_caballus	1	11.1	11	0	0
2	13	14	0	8.32	11	0	0
3	14	Equus_asinus	1	2.78	11	0	0
4	14	Equus_quagga	1	2.78	11	0	0
5	INTERNAL	25	0	40.1665	11	0	0
6	25	Ceratotherium_simum	1	15.2135	11	0	0
7	25	Diceros_bicornis	1	15.2135	11	0	0
0	INTERNAL	13	0	44.28	12	0	0
1	13	Equus_caballus	1	11.1	12	0	0
2	13	14	0	8.32	12	0	0
3	14	Equus_asinus	1	2.78	12	0	0
4	14	Equus_quagga	1	2.78	12	0	0
5	INTERNAL	25	0	40.1665	12	0	0
6	25	Ceratotherium_simum	1	15.2135	12	0	0
7	25	Diceros_bicornis	1	15.2135	12	0	0
0	INTERNAL	13	0	44.28	13	0	0
1	13	Equus_caballus	1	11.1	13	0	0
2	13	14	0	8.32	13	0	0
