foreground_id	foreground_kind	foreground_label	foreground_descendants	species_status	valid_sensitivity_settings	consensus_interpretation	dominant_raw_call	dominant_call_fraction	omega_median	omega_min	omega_max	omega_crosses_1_across_settings	branch_site_significant_settings	positive_selection_call_settings	relaxed_neutral_call_settings	purifying_call_settings	alignment_model_sensitive
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	Addax nasomaculatus	DISRUPTED_LIKELY	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.7284825925761806	0.5992738626874342	0.8385269882169794	False	8	8	1	0	False
terminal_Alces_alces	terminal	Alces alces	Alces alces	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6675335587252685	0.6479389824618019	0.7344554335923016	False	8	8	0	0	False
terminal_Antilocapra_americana	terminal	Antilocapra americana	Antilocapra americana	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.7777777777777778	0.6831560676564	0.6062756228319143	0.7679210566113828	False	7	7	1	0	False
terminal_Axis_porcinus	terminal	Axis porcinus	Axis porcinus	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6992559278208725	0.6437158397715932	0.7614268244848987	False	8	8	0	0	False
terminal_Beatragus_hunteri	terminal	Beatragus hunteri	Beatragus hunteri	DISRUPTED_LIKELY	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6848719726610866	0.5846899326741005	0.7929739764516992	False	8	8	0	0	False
terminal_Bison_bonasus	terminal	Bison bonasus	Bison bonasus	DISRUPTED_LIKELY	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6823664912902435	0.6026700792031265	0.7727336462087908	False	8	8	0	0	False
terminal_Bos_frontalis	terminal	Bos frontalis	Bos frontalis	DISRUPTED_LIKELY	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6952013710368466	0.5799657063019962	0.7762759441987072	False	8	8	0	0	False
terminal_Bos_gaurus	terminal	Bos gaurus	Bos gaurus	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6797106237696005	0.5666178908111468	0.7677082026840587	False	8	8	0	1	False
terminal_Bos_grunniens	terminal	Bos grunniens	Bos grunniens	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6655658759357281	0.5834530463851196	0.7213239166124586	False	8	8	0	0	False
terminal_Bos_indicus	terminal	Bos indicus	Bos indicus	DISRUPTED_LIKELY	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6768757644591997	0.5340778741880775	0.7596923281537473	False	8	8	0	0	False
terminal_Bos_javanicus	terminal	Bos javanicus	Bos javanicus	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6595028321868899	0.5620110691288384	0.7585880996051356	False	8	8	0	1	False
terminal_Bos_mutus	terminal	Bos mutus	Bos mutus	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.6655658759357281	0.5834530463851196	0.7213239166124586	False	8	8	0	0	False
terminal_Bos_taurus	terminal	Bos taurus	Bos taurus	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.675965484050727	0.5394040890377503	0.7689737595086887	False	8	8	0	0	False
terminal_Bubalus_bubalis	terminal	Bubalus bubalis	Bubalus bubalis	DISRUPTED_HIGH	9	POSITIVE_SELECTION	POSITIVE_SELECTION	0.8888888888888888	0.7460130073622528	0.670637908380944	0.8249121947235155	False	8	8	1	0	False
