foreground_id	foreground_kind	foreground_label	foreground_species_status	foreground_descendants	foreground_ids	variant	codon_freq	model	lnL	np	AIC	foreground_dN	foreground_dS	foreground_omega	BEB_sites_ge_0.95	BEB_sites_ge_0.99	foreground_min_informative_codons	status	job_dir	background_omega	foreground_omega_vector	omega_shift_from_background	branch_shift_LRT	branch_shift_p	foreground_vs_neutral_LRT	foreground_vs_neutral_p	branch_site_LRT	branch_site_p_chi1	branch_site_p_mixture	branch_site_q	branch_site_q_mixture	setting_call
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	baseline_trim1_occ60	2	COMPARISONS				0.098638	0.135402	0.7284825925761806	6	4	557	ok		0.34294	0.72849	0.3855425925761806	14.837304000000586	0.00011719429945265064	2.7271700000001147	0.09865395682334832	34.2808559999994	4.770514406411354e-09	2.385257203205677e-09	3.004488737591441e-08	1.5022443687957204e-08	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	baseline_trim2_occ70	2	COMPARISONS				0.082529	0.137715	0.5992738626874342	5	3	399	ok		0.30985	0.59927	0.2894238626874342	7.61350400000083	0.005793280024248459	4.760637999999744	0.029117753082506026	27.891505999999936	1.283118081819764e-07	6.41559040909882e-08	3.266118753723036e-07	1.633059376861518e-07	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	baseline_mask50	1	COMPARISONS				0.103852	0.143496	0.7237274906617606	12	4	884	ok		0.34962	0.72373	0.3741074906617606	23.57814199999848	1.199422867529018e-06	4.847241999999824	0.027690373829630074	27.32094599999982	1.723344517397711e-07	8.616722586988555e-08	2.7573512278363374e-07	1.3786756139181687e-07	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	baseline_mask50	2	COMPARISONS				0.106489	0.150588	0.7071546205540946	12	4	884	ok		0.34165	0.70716	0.3655046205540946	23.37076199999865	1.335937401855813e-06	5.505237999997917	0.01895959984096583	27.204043999998248	1.830753411219722e-07	9.15376705609861e-08	2.8478386396751234e-07	1.4239193198375617e-07	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	baseline_strict_complete	2	COMPARISONS				0.093723	0.111771	0.8385269882169794	1	1	316	ok		0.43806	0.83853	0.40046698821697935	5.712814000000435	0.01684152182132732	0.42993399999977555	0.5120213352106381	1.7195680000004359	0.18974866233938015	0.09487433116969007	0.5312962545502644	0.2656481272751322	RELAXED_TOWARD_NEUTRALITY
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	refined_trim1_occ60	2	COMPARISONS				0.098638	0.135402	0.7284825925761806	6	4	557	ok		0.34294	0.72849	0.3855425925761806	14.837304000000586	0.00011719429945265064	2.7271700000001147	0.09865395682334832	34.2808559999994	4.770514406411354e-09	2.385257203205677e-09	3.004491825286031e-08	1.5022459126430154e-08	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	refined_mask50	2	COMPARISONS				0.106489	0.150588	0.7071546205540946	12	4	884	ok		0.34165	0.70716	0.3655046205540946	23.37076199999865	1.335937401855813e-06	5.505237999997917	0.01895959984096583	27.204043999998248	1.830753411219722e-07	9.15376705609861e-08	2.8478386396751234e-07	1.4239193198375617e-07	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	altcost_trim1_occ60	2	COMPARISONS				0.090981	0.109296	0.832427536231884	5	2	557	ok		0.3757	0.83242	0.45672753623188406	14.858104000000822	0.00011590898899906616	0.7976479999997537	0.3717975104839282	24.40327199999956	7.813587294576294e-07	3.906793647288147e-07	7.772416916594136e-06	3.886208458297068e-06	POSITIVE_SELECTION
terminal_Addax_nasomaculatus	terminal	Addax nasomaculatus	DISRUPTED_LIKELY	Addax nasomaculatus	Addax_nasomaculatus	altcost_mask50	2	COMPARISONS				0.112641	0.150268	0.7496007133920728	11	4	885	ok		0.35536	0.7496	0.3942407133920728	24.783559999999852	6.414221373345742e-07	3.821410000000469	0.05060163892698477	36.896686000000045	1.2455748560276279e-09	6.227874280138139e-10	2.051535056986681e-09	1.0257675284933406e-09	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	baseline_trim1_occ60	2	COMPARISONS				0.09619	0.136421	0.7050967226453406	5	3	552	ok		0.34471	0.7051	0.3603867226453406	13.08355599999959	0.00029789938944457036	3.239180000000488	0.07189661405967983	20.11674800000037	7.285589716976786e-06	3.642794858488393e-06	1.01998256037675e-05	5.09991280188375e-06	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	baseline_trim2_occ70	2	COMPARISONS				0.090701	0.138941	0.6528022685888255	5	3	393	ok		0.3098	0.6528	0.3430022685888255	9.727559999999357	0.0018152530816889312	3.2772540000005392	0.07024637001753108	14.942325999998502	0.00011084799757217881	5.5423998786089406e-05	0.00013494538834873943	6.747269417436971e-05	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	baseline_mask50	1	COMPARISONS				0.100104	0.149961	0.6675335587252685	10	3	875	ok		0.35073	0.66753	0.31680355872526855	18.04631000000154	2.1559610201584412e-05	7.415575999999419	0.006466161023963124	24.623178000001644	6.970824355414712e-07	3.485412177707356e-07	9.759154097580597e-07	4.879577048790298e-07	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	baseline_mask50	2	COMPARISONS				0.102615	0.156412	0.6560558013451654	10	3	875	ok		0.34265	0.65605	0.3134058013451654	18.216386000000057	1.9717513877013527e-05	7.976394000001164	0.004739124809123379	24.74519599999985	6.543168333359305e-07	3.2715841666796526e-07	9.395318632515926e-07	4.697659316257963e-07	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	baseline_strict_complete	2	COMPARISONS				0.085177	0.115973	0.7344554335923016	1	0	316	ok		0.44036	0.73446	0.2940954335923016	3.5055240000001504	0.061164493760460424	1.3235299999996641	0.24995950738148515	0.23098399999980757	0.6307951653121591	0.31539758265607953	0.8906805021233518	0.4453402510616759	NEAR_NEUTRAL_WEAK_EVIDENCE
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	refined_trim1_occ60	2	COMPARISONS				0.09619	0.136421	0.7050967226453406	5	3	552	ok		0.34471	0.7051	0.3603867226453406	13.08355599999959	0.00029789938944457036	3.239180000000488	0.07189661405967983	20.11674800000037	7.285589716976786e-06	3.642794858488393e-06	1.01998256037675e-05	5.09991280188375e-06	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	altcost_trim1_occ60	2	COMPARISONS				0.091202	0.127674	0.7143349468176763	3	1	555	ok		0.37842	0.71434	0.3359149468176763	9.943719999999303	0.0016139905706579905	2.8688039999997272	0.09031196061842217	10.368411999999807	0.00128189763502676	0.00064094881751338	0.001794656689037464	0.000897328344518732	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	refined_mask50	2	COMPARISONS				0.102615	0.156412	0.6560558013451654	10	3	875	ok		0.34264	0.65605	0.3134158013451654	18.216386000000057	1.9717513877013527e-05	7.976394000001164	0.004739124809123379	24.74519599999985	6.543168333359305e-07	3.2715841666796526e-07	9.395318632515926e-07	4.697659316257963e-07	POSITIVE_SELECTION
terminal_Alces_alces	terminal	Alces alces	DISRUPTED_HIGH	Alces alces	Alces_alces	altcost_mask50	2	COMPARISONS				0.104405	0.161134	0.6479389824618019	7	3	876	ok		0.3569	0.64794	0.29103898246180193	15.597853999999643	7.834345332300873e-05	8.598873999999341	0.003363709102964451	27.46106200000213	1.602894039676348e-07	8.01447019838174e-08	2.1893186883384265e-07	1.0946593441692132e-07	POSITIVE_SELECTION
terminal_Antilocapra_americana	terminal	Antilocapra americana	DISRUPTED_HIGH	Antilocapra americana	Antilocapra_americana	baseline_mask50	1	COMPARISONS				0.108214	0.15543	0.6962233802998133	8	1	872	ok		0.34923	0.69622	0.34699338029981336	21.762227999999595	3.0861655621231764e-06	6.26253799999904	0.012331741551240477	9.942633999999089	0.0016149430243304168	0.0008074715121652084	0.0018087361872500668	0.0009043680936250334	POSITIVE_SELECTION
terminal_Antilocapra_americana	terminal	Antilocapra americana	DISRUPTED_HIGH	Antilocapra americana	Antilocapra_americana	baseline_trim1_occ60	2	COMPARISONS				0.101108	0.153376	0.6592165658251616	4	0	557	ok		0.34315	0.65922	0.3160665658251616	11.76817200000005	0.0006025211945155116	5.053949999999531	0.02456986527322164	4.404915999999503	0.0358354895295493	0.01791774476477465	0.04013574827309521	0.020067874136547606	POSITIVE_SELECTION
terminal_Antilocapra_americana	terminal	Antilocapra americana	DISRUPTED_HIGH	Antilocapra americana	Antilocapra_americana	baseline_trim2_occ70	2	COMPARISONS				0.088435	0.145866	0.6062756228319143	4	1	398	ok		0.31217	0.60628	0.29410562283191427	7.9485660000009375	0.004812549456440775	4.70430800000031	0.030087112052929743	4.148838000000978	0.04166310555191778	0.02083155277595889	0.046662678218147915	0.023331339109073958	POSITIVE_SELECTION
terminal_Antilocapra_americana	terminal	Antilocapra americana	DISRUPTED_HIGH	Antilocapra americana	Antilocapra_americana	baseline_mask50	2	COMPARISONS				0.110991	0.162468	0.6831560676564	9	1	872	ok		0.34144	0.68315	0.3417160676564	21.798793999998452	3.0279039817794547e-06	6.862619999999879	0.00880173993597051	10.56312600000092	0.001153659325856185	0.0005768296629280925	0.0012920984449589271	0.0006460492224794636	POSITIVE_SELECTION
terminal_Antilocapra_americana	terminal	Antilocapra americana	DISRUPTED_HIGH	Antilocapra americana	Antilocapra_americana	baseline_strict_complete	2	COMPARISONS				0.077995	0.118485	0.6582689791956787	0	0	316	ok		0.43571	0.65827	0.22255897919567874	2.2374999999992724	0.1346986052319298	2.3458620000001247	0.12561605883920066	0.12543600000026345	0.723211896292649	0.3616059481463245	0.9418573533113569	0.47092867665567845	AMBIGUOUS
terminal_Antilocapra_americana	terminal	Antilocapra americana	DISRUPTED_HIGH	Antilocapra americana	Antilocapra_americana	refined_trim1_occ60	2	COMPARISONS				0.101108	0.153376	0.6592165658251616	4	0	557	ok		0.34315	0.65922	0.3160665658251616	11.76817200000005	0.0006025211945155116	5.053949999999531	0.02456986527322164	4.404915999999503	0.0358354895295493	0.01791774476477465	0.04013574827309521	0.020067874136547606	POSITIVE_SELECTION
