taxon,codons_compared,syn_changes,nonsyn_changes,omega_hat,radical_changes,conserved_hits,stops
Acinonyx_jubatus,924,56,46,0.8214,2,3,0
Ailuropoda_melanoleuca,924,67,33,0.4925,3,3,0
Callorhinus_ursinus,924,59,25,0.4237,2,4,0
Canis_lupus,924,55,43,0.7818,2,0,0
Enhydra_lutris,924,65,49,0.7538,2,9,0
Eumetopias_jubatus,924,55,28,0.5091,2,3,0
Felis_catus,924,52,47,0.9038,2,2,0
Halichoerus_grypus,924,48,25,0.5208,2,0,0
Hyaena_hyaena,924,67,59,0.8806,2,14,0
Leopardus_geoffroyi,924,59,49,0.8305,3,3,0
Leptonychotes_weddellii,924,52,30,0.5769,1,4,0
Lontra_canadensis,924,60,44,0.7333,2,6,0
Lutra_lutra,924,69,44,0.6377,2,5,0
Lynx_canadensis,924,54,45,0.8333,1,1,0
Lynx_rufus,924,59,46,0.7797,2,2,0
Manis_javanica,924,125,78,0.6240,5,33,0
Manis_pentadactyla,924,127,79,0.6220,6,29,0
Meles_meles,924,68,43,0.6324,2,5,0
Mirounga_angustirostris,924,55,28,0.5091,1,1,0
Mirounga_leonina,924,58,28,0.4828,1,1,0
Mustela_erminea,924,73,42,0.5753,3,2,0
Mustela_lutreola,924,69,42,0.6087,3,0,0
Mustela_nigripes,924,72,44,0.6111,3,2,0
Mustela_putorius,924,70,43,0.6143,3,2,0
Neofelis_nebulosa,924,53,41,0.7736,2,0,0
Neogale_vison,924,71,40,0.5634,3,1,0
Neomonachus_schauinslandi,924,51,28,0.5490,1,1,0
Nyctereutes_procyonoides,924,56,41,0.7321,2,1,0
Odobenus_rosmarus,924,53,22,0.4151,1,2,0
Panthera_leo,924,53,47,0.8868,3,1,0
Panthera_onca,924,53,45,0.8491,3,0,0
Panthera_pardus,924,53,47,0.8868,3,2,0
Panthera_tigris,924,50,45,0.9000,3,2,0
Panthera_uncia,924,51,48,0.9412,3,2,0
Phoca_vitulina,924,48,27,0.5625,1,0,0
Prionailurus_bengalensis,924,58,46,0.7931,2,2,0
Prionailurus_viverrinus,924,55,46,0.8364,2,2,0
Puma_concolor,924,57,43,0.7544,2,0,0
Puma_yagouaroundi,924,58,44,0.7586,2,0,0
Suricata_suricatta,924,74,56,0.7568,2,15,0
Ursus_americanus,924,78,33,0.4231,3,3,0
Ursus_arctos,924,75,32,0.4267,3,2,0
Ursus_maritimus,924,73,32,0.4384,4,1,0
Vulpes_lagopus,924,59,44,0.7458,3,2,0
Vulpes_vulpes,924,61,43,0.7049,3,3,0
Zalophus_californianus,924,56,27,0.4821,2,3,0
