"Tissue","Category","Newborn","Young","Adult"
"Heart fat","Adipose",0,0.01,0
"Kidney fat","Adipose",0,0,0.01
"Subcutaneous fat","Adipose",NA,0.01,0
"Blood vessel","Blood vessel",0,0,0.02
"Cerebrum","Brain",0.05,0.05,0.02
"Cerebellum","Brain",0.37,0.47,0.25
"Medulla oblongata","Brain",0.02,0.01,0.01
"Spinal cord","Brain",0.01,0,NA
"Pineal body","Brain",NA,NA,0.01
"Hypothalamus","Brain",0,0.02,0.04
"Parotid gland","Digestive_system",0,0.02,0
"Submandibular gland","Digestive_system",NA,0.02,0.01
"Sublingual gland","Digestive_system",NA,0.01,0
"Tongue","Digestive_system",0.01,0.01,0.02
"Esophagus","Digestive_system",0,0.01,0
"Rumen","Digestive_system",0.03,0.01,0
"Reticulum","Digestive_system",0,0.01,0.01
"Omasum","Digestive_system",0.12,0,0
"Abomasum","Digestive_system",0.41,0.06,0.22
"Duodenum","Digestive_system",0.25,0.62,0.28
"Jejunum","Digestive_system",0.12,0.31,0.57
"Ileum","Digestive_system",0.24,0.55,1.25
"Cecum","Digestive_system",2.52,0.58,0.61
"Colon","Digestive_system",2.49,0.54,0.94
"Rectum","Digestive_system",1.14,0.57,0.72
"Thyroid","Endocrine",2.9,3.13,4.66
"Hypophysis","Endocrine",NA,NA,13.07
"Adrenal gland","Endocrine",0.01,0.03,0.08
"Lymph gland","Immune",0.01,0.05,0.04
"Spleen","Immune",0.03,0.1,0.07
"Thymus","Immune",0.06,0.05,0.04
"Renal cortical","Kidney&Bladder",10.81,3.45,4.4
"Renal medulla","Kidney&Bladder",7.29,9.18,9.19
"Bladder","Kidney&Bladder",0,0.04,0.02
"Liver","Liver",0,0,0
"Heart muscle","Muscle",0,0.01,0
"Longissimus muscle","Muscle",0,0,0
"Testis","Reproductive",0.06,0.05,0.05
"Epididymis","Reproductive",0.01,0.04,0.02
"Seminal vesicle","Reproductive",0,0,0.01
"Antiprostate","Reproductive",0,0,0
"Prostate","Reproductive",0,NA,0
"Penis","Reproductive",0,0,0
"Nasal mucosa","Respiratory",0,0.02,0.02
"Trachea","Respiratory",0.01,0.1,0.06
"Lung","Respiratory",0,0,0
"Cartilago articularis","Skeletal_system",0,0,0
"Rib cartilage","Skeletal_system",0,0,0
"Fibrous cartilage","Skeletal_system",0,0.02,NA
"Marrow","Skeletal_system",NA,0,0
"Xiphoid","Skeletal_system",0.03,0,NA
"Skin","Skin",0.03,0.06,0.04
